nodenumber,    x-coordinate,    y-coordinate,pressure-coefficient
         1, 2.399999946E-01, 0.000000000E+00, 1.008289576E+00
         2, 2.400000000E-01, 1.307999885E-03, 1.006281853E+00
         3, 2.400000000E-01, 2.475999939E-03, 9.971119165E-01
         4, 2.400000000E-01, 3.541999910E-03, 9.857506156E-01
         5, 2.400000000E-01, 4.529999905E-03, 9.720616341E-01
         6, 2.400000000E-01, 5.451999679E-03, 9.567117691E-01
         7, 2.400000000E-01, 6.323999503E-03, 9.401310086E-01
         8, 2.400000000E-01, 7.149999445E-03, 9.226659536E-01
         9, 2.400000000E-01, 7.935999903E-03, 9.045853615E-01
        10, 2.400000000E-01, 8.689999820E-03, 8.861640692E-01
        11, 2.400000000E-01, 9.413999529E-03, 8.676342368E-01
        12, 2.400000000E-01, 1.011199910E-02, 8.490947485E-01
        13, 2.400000000E-01, 1.078600005E-02, 8.306678534E-01
        14, 2.400000000E-01, 1.144000007E-02, 8.123815060E-01
        15, 2.400000000E-01, 1.207399915E-02, 7.943418026E-01
        16, 2.400000000E-01, 1.268799968E-02, 7.766435742E-01
        17, 2.400000000E-01, 1.328799909E-02, 7.591890097E-01
        18, 2.400000000E-01, 1.387199941E-02, 7.420913577E-01
        19, 2.400000000E-01, 1.444199980E-02, 7.253353000E-01
        20, 2.400000000E-01, 1.499799905E-02, 7.089490294E-01
        21, 2.400000000E-01, 1.554199989E-02, 6.929000020E-01
        22, 2.400000000E-01, 1.607599908E-02, 6.771552563E-01
        23, 2.400000000E-01, 1.659799985E-02, 6.617991328E-01
        24, 2.400000000E-01, 1.710999896E-02, 6.467947364E-01
        25, 2.400000000E-01, 1.761199879E-02, 6.321557164E-01
        26, 2.400000000E-01, 1.810599968E-02, 6.178358197E-01
        27, 2.400000000E-01, 1.859199925E-02, 6.038373113E-01
        28, 2.400000000E-01, 1.906799953E-02, 5.902301073E-01
        29, 2.400000000E-01, 1.953799883E-02, 5.768924952E-01
        30, 2.400000000E-01, 1.999999918E-02, 5.639128089E-01
        31, 2.400000000E-01, 2.050000105E-02, 5.500273108E-01
        32, 2.400000000E-01, 2.100527862E-02, 5.361235738E-01
        33, 2.400000000E-01, 2.151588755E-02, 5.222262144E-01
        34, 2.400000000E-01, 2.203188410E-02, 5.083578229E-01
        35, 2.400000000E-01, 2.255332511E-02, 4.945294261E-01
        36, 2.400000000E-01, 2.308026803E-02, 4.807528853E-01
        37, 2.400000000E-01, 2.361277091E-02, 4.670390487E-01
        38, 2.400000000E-01, 2.415089242E-02, 4.533984065E-01
        39, 2.400000000E-01, 2.469469184E-02, 4.398411512E-01
        40, 2.400000000E-01, 2.524422909E-02, 4.263770282E-01
        41, 2.400000000E-01, 2.579956469E-02, 4.130159616E-01
        42, 2.400000000E-01, 2.636075984E-02, 3.997681439E-01
        43, 2.400000000E-01, 2.692787636E-02, 3.866437674E-01
        44, 2.400000000E-01, 2.750097673E-02, 3.736523390E-01
        45, 2.400000000E-01, 2.808012408E-02, 3.608029485E-01
        46, 2.400000000E-01, 2.866538222E-02, 3.481049538E-01
        47, 2.400000000E-01, 2.925681563E-02, 3.355671167E-01
        48, 2.400000000E-01, 2.985448946E-02, 3.231956065E-01
        49, 2.400000000E-01, 3.045846956E-02, 3.109946549E-01
        50, 2.400000000E-01, 3.106882248E-02, 2.989681065E-01
        51, 2.400000000E-01, 3.168561544E-02, 2.871205211E-01
        52, 2.400000000E-01, 3.230891640E-02, 2.754659951E-01
