nodenumber,    x-coordinate,    y-coordinate,  nusselt-number
         1, 2.399999946E-01, 0.000000000E+00, 1.420444946E+02
         2, 2.400000000E-01, 1.307999885E-03, 1.413559265E+02
         3, 2.400000000E-01, 2.475999939E-03, 1.403768921E+02
         4, 2.400000000E-01, 3.541999910E-03, 1.398799438E+02
         5, 2.400000000E-01, 4.529999905E-03, 1.395750885E+02
         6, 2.400000000E-01, 5.451999679E-03, 1.392167816E+02
         7, 2.400000000E-01, 6.323999503E-03, 1.386202240E+02
         8, 2.400000000E-01, 7.149999445E-03, 1.376651001E+02
         9, 2.400000000E-01, 7.935999903E-03, 1.364819794E+02
        10, 2.400000000E-01, 8.689999820E-03, 1.352958221E+02
        11, 2.400000000E-01, 9.413999529E-03, 1.341889191E+02
        12, 2.400000000E-01, 1.011199910E-02, 1.331362915E+02
        13, 2.400000000E-01, 1.078600005E-02, 1.321172638E+02
        14, 2.400000000E-01, 1.144000007E-02, 1.311244507E+02
        15, 2.400000000E-01, 1.207399915E-02, 1.301604462E+02
        16, 2.400000000E-01, 1.268799968E-02, 1.292243958E+02
        17, 2.400000000E-01, 1.328799909E-02, 1.283056335E+02
        18, 2.400000000E-01, 1.387199941E-02, 1.274083481E+02
        19, 2.400000000E-01, 1.444199980E-02, 1.265347366E+02
        20, 2.400000000E-01, 1.499799905E-02, 1.256860352E+02
        21, 2.400000000E-01, 1.554199989E-02, 1.248535690E+02
        22, 2.400000000E-01, 1.607599908E-02, 1.240289536E+02
        23, 2.400000000E-01, 1.659799985E-02, 1.232153320E+02
        24, 2.400000000E-01, 1.710999896E-02, 1.224133453E+02
        25, 2.400000000E-01, 1.761199879E-02, 1.216257477E+02
        26, 2.400000000E-01, 1.810599968E-02, 1.208528671E+02
        27, 2.400000000E-01, 1.859199925E-02, 1.200964203E+02
        28, 2.400000000E-01, 1.906799953E-02, 1.193633118E+02
        29, 2.400000000E-01, 1.953799883E-02, 1.186313324E+02
        30, 2.400000000E-01, 1.999999918E-02, 1.179038620E+02
        31, 2.400000000E-01, 2.050000105E-02, 1.171357040E+02
        32, 2.400000000E-01, 2.100527862E-02, 1.163750381E+02
        33, 2.400000000E-01, 2.151588755E-02, 1.156103287E+02
        34, 2.400000000E-01, 2.203188410E-02, 1.148415909E+02
        35, 2.400000000E-01, 2.255332511E-02, 1.140713501E+02
        36, 2.400000000E-01, 2.308026803E-02, 1.133014145E+02
        37, 2.400000000E-01, 2.361277091E-02, 1.125328064E+02
        38, 2.400000000E-01, 2.415089242E-02, 1.117661209E+02
        39, 2.400000000E-01, 2.469469184E-02, 1.110014496E+02
        40, 2.400000000E-01, 2.524422909E-02, 1.102386322E+02
        41, 2.400000000E-01, 2.579956469E-02, 1.094778900E+02
        42, 2.400000000E-01, 2.636075984E-02, 1.087198715E+02
        43, 2.400000000E-01, 2.692787636E-02, 1.079645996E+02
        44, 2.400000000E-01, 2.750097673E-02, 1.072117081E+02
        45, 2.400000000E-01, 2.808012408E-02, 1.064615631E+02
        46, 2.400000000E-01, 2.866538222E-02, 1.057152176E+02
