nodenumber,    x-coordinate,    y-coordinate,      wall-shear
         1, 2.399999946E-01, 0.000000000E+00, 2.994082682E-02
         2, 2.400000000E-01, 1.307999885E-03, 5.821774527E-02
         3, 2.400000000E-01, 2.475999939E-03, 1.074818149E-01
         4, 2.400000000E-01, 3.541999910E-03, 1.508488804E-01
         5, 2.400000000E-01, 4.529999905E-03, 1.903097928E-01
         6, 2.400000000E-01, 5.451999679E-03, 2.264059335E-01
         7, 2.400000000E-01, 6.323999503E-03, 2.593310177E-01
         8, 2.400000000E-01, 7.149999445E-03, 2.886269391E-01
         9, 2.400000000E-01, 7.935999903E-03, 3.141597807E-01
        10, 2.400000000E-01, 8.689999820E-03, 3.364888132E-01
        11, 2.400000000E-01, 9.413999529E-03, 3.563108146E-01
        12, 2.400000000E-01, 1.011199910E-02, 3.741540611E-01
        13, 2.400000000E-01, 1.078600005E-02, 3.902859688E-01
        14, 2.400000000E-01, 1.144000007E-02, 4.048570395E-01
        15, 2.400000000E-01, 1.207399915E-02, 4.179330468E-01
        16, 2.400000000E-01, 1.268799968E-02, 4.297320843E-01
        17, 2.400000000E-01, 1.328799909E-02, 4.405196905E-01
        18, 2.400000000E-01, 1.387199941E-02, 4.502721429E-01
        19, 2.400000000E-01, 1.444199980E-02, 4.590871334E-01
        20, 2.400000000E-01, 1.499799905E-02, 4.671461284E-01
        21, 2.400000000E-01, 1.554199989E-02, 4.745520353E-01
        22, 2.400000000E-01, 1.607599908E-02, 4.812549651E-01
        23, 2.400000000E-01, 1.659799985E-02, 4.872044921E-01
        24, 2.400000000E-01, 1.710999896E-02, 4.925320745E-01
        25, 2.400000000E-01, 1.761199879E-02, 4.973432124E-01
        26, 2.400000000E-01, 1.810599968E-02, 5.016762018E-01
        27, 2.400000000E-01, 1.859199925E-02, 5.055537224E-01
        28, 2.400000000E-01, 1.906799953E-02, 5.090212226E-01
        29, 2.400000000E-01, 1.953799883E-02, 5.120760798E-01
        30, 2.400000000E-01, 1.999999918E-02, 5.146672726E-01
        31, 2.400000000E-01, 2.050000105E-02, 5.171691775E-01
        32, 2.400000000E-01, 2.100527862E-02, 5.194894075E-01
        33, 2.400000000E-01, 2.151588755E-02, 5.215445757E-01
        34, 2.400000000E-01, 2.203188410E-02, 5.232686996E-01
        35, 2.400000000E-01, 2.255332511E-02, 5.246672034E-01
        36, 2.400000000E-01, 2.308026803E-02, 5.257780552E-01
        37, 2.400000000E-01, 2.361277091E-02, 5.266180038E-01
        38, 2.400000000E-01, 2.415089242E-02, 5.271958113E-01
        39, 2.400000000E-01, 2.469469184E-02, 5.275241733E-01
        40, 2.400000000E-01, 2.524422909E-02, 5.275909305E-01
        41, 2.400000000E-01, 2.579956469E-02, 5.273805857E-01
        42, 2.400000000E-01, 2.636075984E-02, 5.269244313E-01
        43, 2.400000000E-01, 2.692787636E-02, 5.262553096E-01
        44, 2.400000000E-01, 2.750097673E-02, 5.253365040E-01
        45, 2.400000000E-01, 2.808012408E-02, 5.241345167E-01
        46, 2.400000000E-01, 2.866538222E-02, 5.227052569E-01
        47, 2.400000000E-01, 2.925681563E-02, 5.211065412E-01
        48, 2.400000000E-01, 2.985448946E-02, 5.193024874E-01
        49, 2.400000000E-01, 3.045846956E-02, 5.172696114E-01
        50, 2.400000000E-01, 3.106882248E-02, 5.150792599E-01
        51, 2.400000000E-01, 3.168561544E-02, 5.127450228E-01
        52, 2.400000000E-01, 3.230891640E-02, 5.101277828E-01
        53, 2.400000000E-01, 3.293879404E-02, 5.071462393E-01
        54, 2.400000000E-01, 3.357531773E-02, 5.039000511E-01
        55, 2.400000000E-01, 3.421855762E-02, 5.004849434E-01
        56, 2.400000000E-01, 3.486858455E-02, 4.968253076E-01
        57, 2.400000000E-01, 3.552547016E-02, 4.928812385E-01
        58, 2.400000000E-01, 3.618928679E-02, 4.887111485E-01
        59, 2.400000000E-01, 3.686010760E-02, 4.843245745E-01
        60, 2.400000000E-01, 3.753800647E-02, 4.797262847E-01
        61, 2.400000000E-01, 3.822305809E-02, 4.749286473E-01
        62, 2.400000000E-01, 3.891533794E-02, 4.699816108E-01
        63, 2.400000000E-01, 3.961492227E-02, 4.649352431E-01
        64, 2.400000000E-01, 4.032188818E-02, 4.597606659E-01
        65, 2.400000000E-01, 4.103631352E-02, 4.544039369E-01
        66, 2.400000000E-01, 4.175827703E-02, 4.488525689E-01
        67, 2.400000000E-01, 4.248785823E-02, 4.431360066E-01
        68, 2.400000000E-01, 4.322513750E-02, 4.372894764E-01
        69, 2.400000000E-01, 4.397019606E-02, 4.313164949E-01
        70, 2.400000000E-01, 4.472311601E-02, 4.252242744E-01
        71, 2.400000000E-01, 4.548398028E-02, 4.190369844E-01
        72, 2.400000000E-01, 4.625287269E-02, 4.127717018E-01
        73, 2.400000000E-01, 4.702987797E-02, 4.064324200E-01
        74, 2.400000000E-01, 4.781508171E-02, 4.000106752E-01
        75, 2.400000000E-01, 4.860857041E-02, 3.934954107E-01
        76, 2.400000000E-01, 4.941043149E-02, 3.869389296E-01
        77, 2.400000000E-01, 5.022075329E-02, 3.804616928E-01
        78, 2.400000000E-01, 5.103962508E-02, 3.741136789E-01
        79, 2.400000000E-01, 5.186713709E-02, 3.678291738E-01
        80, 2.400000000E-01, 5.270338046E-02, 3.615336418E-01
        81, 2.400000000E-01, 5.354844734E-02, 3.552329540E-01
        82, 2.400000000E-01, 5.440243082E-02, 3.489786386E-01
        83, 2.400000000E-01, 5.526542498E-02, 3.427886963E-01
        84, 2.400000000E-01, 5.613752491E-02, 3.366594017E-01
        85, 2.400000000E-01, 5.701882666E-02, 3.306145370E-01
        86, 2.400000000E-01, 5.790942735E-02, 3.246751726E-01
        87, 2.400000000E-01, 5.880942508E-02, 3.188259006E-01
        88, 2.400000000E-01, 5.971891901E-02, 3.130619526E-01
        89, 2.400000000E-01, 6.063800933E-02, 3.074230850E-01
        90, 2.400000000E-01, 6.156679730E-02, 3.019319475E-01
        91, 2.400000000E-01, 6.250538524E-02, 2.965475619E-01
        92, 2.400000000E-01, 6.345387655E-02, 2.912342250E-01
        93, 2.400000000E-01, 6.441237574E-02, 2.860248983E-01
        94, 2.400000000E-01, 6.538098839E-02, 2.809565663E-01
        95, 2.400000000E-01, 6.635982122E-02, 2.760183215E-01
        96, 2.400000000E-01, 6.734898206E-02, 2.711963654E-01
        97, 2.400000000E-01, 6.834857989E-02, 2.665115595E-01
        98, 2.400000000E-01, 6.935872483E-02, 2.619845271E-01
        99, 2.400000000E-01, 7.037952817E-02, 2.575981021E-01
       100, 2.400000000E-01, 7.141110237E-02, 2.533318698E-01
       101, 2.400000000E-01, 7.245356108E-02, 2.492007762E-01
       102, 2.400000000E-01, 7.350701914E-02, 2.452181429E-01
       103, 2.400000000E-01, 7.457159261E-02, 2.413626313E-01
       104, 2.400000000E-01, 7.564739877E-02, 2.376142740E-01
       105, 2.400000000E-01, 7.673455614E-02, 2.339778244E-01
       106, 2.400000000E-01, 7.783318450E-02, 2.304553986E-01
       107, 2.400000000E-01, 7.894340488E-02, 2.270318270E-01
       108, 2.400000000E-01, 8.006533959E-02, 2.236930281E-01
       109, 2.400000000E-01, 8.119911223E-02, 2.204323560E-01
       110, 2.400000000E-01, 8.234484771E-02, 2.172422707E-01
       111, 2.400000000E-01, 8.350267225E-02, 2.141112685E-01
       112, 2.400000000E-01, 8.467271341E-02, 2.110294402E-01
       113, 2.400000000E-01, 8.585510009E-02, 2.079883516E-01
       114, 2.400000000E-01, 8.704996255E-02, 2.049792409E-01
       115, 2.400000000E-01, 8.825743244E-02, 2.019912153E-01
       116, 2.400000000E-01, 8.947764276E-02, 1.990162134E-01
       117, 2.400000000E-01, 9.071072796E-02, 1.960593760E-01
       118, 2.400000000E-01, 9.195682388E-02, 1.931292862E-01
       119, 2.400000000E-01, 9.321606780E-02, 1.902191490E-01
       120, 2.400000000E-01, 9.448859845E-02, 1.873104125E-01
       121, 2.400000000E-01, 9.577455603E-02, 1.843858659E-01
       122, 2.400000000E-01, 9.707408220E-02, 1.814475060E-01
       123, 2.400000000E-01, 9.838732013E-02, 1.785111129E-01
       124, 2.400000000E-01, 9.971441451E-02, 1.755860001E-01
       125, 2.400000000E-01, 1.010555115E-01, 1.726731509E-01
       126, 2.400000000E-01, 1.024107589E-01, 1.697710156E-01
       127, 2.400000000E-01, 1.037803060E-01, 1.668781191E-01
       128, 2.400000000E-01, 1.051643037E-01, 1.639945209E-01
       129, 2.400000000E-01, 1.065629045E-01, 1.611220688E-01
       130, 2.400000000E-01, 1.079762623E-01, 1.582563967E-01
       131, 2.400000000E-01, 1.094045331E-01, 1.553982496E-01
       132, 2.400000000E-01, 1.108478740E-01, 1.525499076E-01
       133, 2.400000000E-01, 1.123064441E-01, 1.497115493E-01
       134, 2.400000000E-01, 1.137804041E-01, 1.468875408E-01
       135, 2.400000000E-01, 1.152699163E-01, 1.440764070E-01
       136, 2.400000000E-01, 1.167751450E-01, 1.412783116E-01
       137, 2.400000000E-01, 1.182962559E-01, 1.384976655E-01
       138, 2.400000000E-01, 1.198334165E-01, 1.357299536E-01
       139, 2.400000000E-01, 1.213867963E-01, 1.329489052E-01
       140, 2.400000000E-01, 1.229565663E-01, 1.301372349E-01
       141, 2.400000000E-01, 1.245428995E-01, 1.273164600E-01
       142, 2.400000000E-01, 1.261459707E-01, 1.245218590E-01
       143, 2.400000000E-01, 1.277659565E-01, 1.217821985E-01
       144, 2.400000000E-01, 1.294030353E-01, 1.190931648E-01
       145, 2.400000000E-01, 1.310573875E-01, 1.164167821E-01
       146, 2.400000000E-01, 1.327291954E-01, 1.137519032E-01
       147, 2.400000000E-01, 1.344186431E-01, 1.111762300E-01
       148, 2.400000000E-01, 1.361259168E-01, 1.087613180E-01
       149, 2.400000000E-01, 1.378512045E-01, 1.063927859E-01
       150, 2.400000000E-01, 1.404991721E-01, 1.026716307E-01
       151, 2.400000000E-01, 1.431471398E-01, 9.902856499E-02
       152, 2.400000000E-01, 1.457951074E-01, 9.568640590E-02
       153, 2.400000000E-01, 1.484430750E-01, 9.265760332E-02
       154, 2.400000000E-01, 1.510910427E-01, 8.983743191E-02
       155, 2.400000000E-01, 1.537390103E-01, 8.714972436E-02
       156, 2.400000000E-01, 1.563869779E-01, 8.456743509E-02
       157, 2.400000000E-01, 1.590349456E-01, 8.207555860E-02
       158, 2.400000000E-01, 1.616829132E-01, 7.965894789E-02
       159, 2.400000000E-01, 1.643308808E-01, 7.731838524E-02
       160, 2.400000000E-01, 1.669788484E-01, 7.507278025E-02
       161, 2.400000000E-01, 1.696268161E-01, 7.293905318E-02
       162, 2.400000000E-01, 1.722747837E-01, 7.091492414E-02
       163, 2.400000000E-01, 1.749227513E-01, 6.898814440E-02
       164, 2.400000000E-01, 1.775707190E-01, 6.715026498E-02
       165, 2.400000000E-01, 1.802186866E-01, 6.539517641E-02
       166, 2.400000000E-01, 1.828666542E-01, 6.371540576E-02
       167, 2.400000000E-01, 1.855146219E-01, 6.210497394E-02
       168, 2.400000000E-01, 1.881625895E-01, 6.056242436E-02
       169, 2.400000000E-01, 1.908105571E-01, 5.908786133E-02
       170, 2.400000000E-01, 1.934585248E-01, 5.767784268E-02
       171, 2.400000000E-01, 1.961064924E-01, 5.632449314E-02
       172, 2.400000000E-01, 1.987544600E-01, 5.502073839E-02
       173, 2.400000000E-01, 2.014024277E-01, 5.376375839E-02
       174, 2.400000000E-01, 2.040503953E-01, 5.255317315E-02
       175, 2.400000000E-01, 2.066983629E-01, 5.138891935E-02
       176, 2.400000000E-01, 2.093463305E-01, 5.027029291E-02
       177, 2.400000000E-01, 2.119942982E-01, 4.919544235E-02
       178, 2.400000000E-01, 2.146422658E-01, 4.816183820E-02
       179, 2.400000000E-01, 2.172902334E-01, 4.716685042E-02
       180, 2.400000000E-01, 2.199382011E-01, 4.620790854E-02
       181, 2.400000000E-01, 2.225861687E-01, 4.528222233E-02
       182, 2.400000000E-01, 2.252341363E-01, 4.438692331E-02
       183, 2.400000000E-01, 2.278821040E-01, 4.351935536E-02
       184, 2.400000000E-01, 2.305300716E-01, 4.267701507E-02
       185, 2.400000000E-01, 2.331780392E-01, 4.185748845E-02
       186, 2.400000000E-01, 2.358260069E-01, 4.105824605E-02
       187, 2.400000000E-01, 2.384739745E-01, 4.027692974E-02
       188, 2.400000000E-01, 2.411219421E-01, 3.951167315E-02
       189, 2.400000000E-01, 2.437699098E-01, 3.876080737E-02
       190, 2.400000000E-01, 2.464178774E-01, 3.802295029E-02
       191, 2.400000000E-01, 2.490658450E-01, 3.729720041E-02
       192, 2.400000000E-01, 2.517138126E-01, 3.658301756E-02
       193, 2.400000000E-01, 2.543617803E-01, 3.588015959E-02
       194, 2.400000000E-01, 2.570097479E-01, 3.518858925E-02
       195, 2.400000000E-01, 2.596577155E-01, 3.450844437E-02
       196, 2.400000000E-01, 2.623056832E-01, 3.384013847E-02
       197, 2.400000000E-01, 2.649536508E-01, 3.318399563E-02
       198, 2.400000000E-01, 2.676016184E-01, 3.254109994E-02
       199, 2.400000000E-01, 2.702495861E-01, 3.191277385E-02
       200, 2.400000000E-01, 2.728975537E-01, 3.129782528E-02
       201, 2.400000000E-01, 2.755455213E-01, 3.069206327E-02
       202, 2.400000000E-01, 2.781934890E-01, 3.008752875E-02
       203, 2.400000000E-01, 2.808414566E-01, 2.948359214E-02
       204, 2.400000000E-01, 2.834894242E-01, 2.889043838E-02
       205, 2.400000000E-01, 2.861373919E-01, 2.831287868E-02
       206, 2.400000000E-01, 2.887853595E-01, 2.775057219E-02
       207, 2.400000000E-01, 2.914333271E-01, 2.720141783E-02
       208, 2.400000000E-01, 2.940812947E-01, 2.666246146E-02
       209, 2.400000000E-01, 2.967292624E-01, 2.613533847E-02
       210, 2.400000000E-01, 2.993772300E-01, 2.562359907E-02
       211, 2.400000000E-01, 3.020251976E-01, 2.512793802E-02
       212, 2.400000000E-01, 3.046731653E-01, 2.464607172E-02
       213, 2.400000000E-01, 3.073211329E-01, 2.417569421E-02
       214, 2.400000000E-01, 3.099691005E-01, 2.371588722E-02
       215, 2.400000000E-01, 3.126170682E-01, 2.326670475E-02
       216, 2.400000000E-01, 3.152650358E-01, 2.282914892E-02
       217, 2.400000000E-01, 3.179130034E-01, 2.240530401E-02
       218, 2.400000000E-01, 3.205609711E-01, 2.199657634E-02
       219, 2.400000000E-01, 3.232089387E-01, 2.160111628E-02
       220, 2.400000000E-01, 3.258569063E-01, 2.121542022E-02
       221, 2.400000000E-01, 3.285048740E-01, 2.083737031E-02
       222, 2.400000000E-01, 3.311528416E-01, 2.046578005E-02
       223, 2.400000000E-01, 3.338008092E-01, 2.010084130E-02
       224, 2.400000000E-01, 3.364487768E-01, 1.974482089E-02
       225, 2.400000000E-01, 3.390967445E-01, 1.940046996E-02
       226, 2.400000000E-01, 3.417447121E-01, 1.906921901E-02
       227, 2.400000000E-01, 3.443926797E-01, 1.875005662E-02
       228, 2.400000000E-01, 3.470406474E-01, 1.844051667E-02
       229, 2.400000000E-01, 3.496886150E-01, 1.813815534E-02
       230, 2.400000000E-01, 3.523365826E-01, 1.784170978E-02
       231, 2.400000000E-01, 3.549845503E-01, 1.755128242E-02
       232, 2.400000000E-01, 3.576325179E-01, 1.726718061E-02
       233, 2.400000000E-01, 3.602804855E-01, 1.698917709E-02
       234, 2.400000000E-01, 3.629284532E-01, 1.671703532E-02
       235, 2.400000000E-01, 3.655764208E-01, 1.645087637E-02
       236, 2.400000000E-01, 3.682243884E-01, 1.619035006E-02
       237, 2.400000000E-01, 3.708723561E-01, 1.593461446E-02
       238, 2.400000000E-01, 3.735203237E-01, 1.568296179E-02
       239, 2.400000000E-01, 3.761682913E-01, 1.543516200E-02
       240, 2.400000000E-01, 3.788162589E-01, 1.519105677E-02
       241, 2.400000000E-01, 3.814642266E-01, 1.495111268E-02
       242, 2.400000000E-01, 3.841121942E-01, 1.471568178E-02
       243, 2.400000000E-01, 3.867601618E-01, 1.448203437E-02
       244, 2.400000000E-01, 3.894081295E-01, 1.424422208E-02
       245, 2.400000000E-01, 3.920560971E-01, 1.400164701E-02
       246, 2.400000000E-01, 3.947040647E-01, 1.377821993E-02
       247, 2.400000000E-01, 3.973520324E-01, 1.361865643E-02
       248, 2.400000000E-01, 4.000000000E-01, 1.356076170E-02
