nodenumber,    x-coordinate,    y-coordinate,velocity-magnitude
         1, 2.400000000E-01, 1.999999918E-02, 0.000000000E+00
         2, 2.398383670E-01, 1.999999896E-02, 3.458630040E+00
         3, 2.396767712E-01, 1.999999884E-02, 4.862177566E+00
         4, 2.395151588E-01, 1.999999918E-02, 5.099861145E+00
         5, 2.393535470E-01, 1.999999959E-02, 5.317495264E+00
         6, 2.391919290E-01, 1.999999978E-02, 5.272401571E+00
         7, 2.390303017E-01, 1.999999918E-02, 5.227307558E+00
         8, 2.388686814E-01, 1.999999918E-02, 5.182213664E+00
         9, 2.387070643E-01, 1.999999942E-02, 5.136871897E+00
        10, 2.385454431E-01, 1.999999918E-02, 5.089545071E+00
        11, 2.383838326E-01, 1.999999858E-02, 5.042222261E+00
        12, 2.382222143E-01, 1.999999858E-02, 4.994895220E+00
        13, 2.380606030E-01, 1.999999918E-02, 4.947568655E+00
        14, 2.378989847E-01, 1.999999918E-02, 4.900241733E+00
        15, 2.377373664E-01, 1.999999918E-02, 4.852914810E+00
        16, 2.375757481E-01, 1.999999918E-02, 4.805587828E+00
        17, 2.374141354E-01, 1.999999965E-02, 4.760465719E+00
        18, 2.372525143E-01, 1.999999933E-02, 4.724680871E+00
        19, 2.370909136E-01, 1.999999948E-02, 4.688898742E+00
        20, 2.369292927E-01, 1.999999918E-02, 4.653113663E+00
        21, 2.367676752E-01, 1.999999918E-02, 4.617328644E+00
        22, 2.366060650E-01, 1.999999978E-02, 4.581543684E+00
        23, 2.364444475E-01, 1.999999978E-02, 4.545758486E+00
        24, 2.362828231E-01, 1.999999918E-02, 4.509973288E+00
        25, 2.361212057E-01, 1.999999918E-02, 4.474188328E+00
        26, 2.359595883E-01, 1.999999918E-02, 4.438403130E+00
        27, 2.357979858E-01, 1.999999918E-02, 4.402621150E+00
        28, 2.356363684E-01, 1.999999918E-02, 4.366836190E+00
        29, 2.354747510E-01, 1.999999918E-02, 4.331051111E+00
        30, 2.353131337E-01, 1.999999918E-02, 4.295265853E+00
        31, 2.351515163E-01, 1.999999918E-02, 4.259480804E+00
        32, 2.349898989E-01, 1.999999918E-02, 4.223695770E+00
        33, 2.348282855E-01, 1.999999955E-02, 4.194693893E+00
