nodenumber,    x-coordinate,    y-coordinate,turb-kinetic-energy
         1, 2.400000000E-01, 1.199999966E-01, 1.121493467E-07
         2, 2.398383786E-01, 1.200000015E-01, 1.304684594E-02
         3, 2.396767727E-01, 1.200000028E-01, 7.110710168E-02
         4, 2.395151493E-01, 1.199999993E-01, 1.095744120E-01
         5, 2.393535362E-01, 1.200000010E-01, 1.458222058E-01
         6, 2.391919204E-01, 1.200000013E-01, 1.530260961E-01
         7, 2.390302999E-01, 1.199999993E-01, 1.602299740E-01
         8, 2.388686835E-01, 1.199999993E-01, 1.674338584E-01
         9, 2.387070676E-01, 1.199999999E-01, 1.786285432E-01
        10, 2.385454462E-01, 1.199999992E-01, 2.217826978E-01
        11, 2.383838410E-01, 1.199999993E-01, 2.649329007E-01
        12, 2.382222199E-01, 1.199999989E-01, 3.080870686E-01
        13, 2.380606006E-01, 1.199999993E-01, 3.512412300E-01
        14, 2.378989725E-01, 1.199999953E-01, 3.943953849E-01
        15, 2.377373633E-01, 1.200000009E-01, 4.375495790E-01
        16, 2.375757360E-01, 1.199999973E-01, 4.807037351E-01
        17, 2.374141167E-01, 1.199999974E-01, 5.228771972E-01
        18, 2.372525003E-01, 1.199999974E-01, 5.609002896E-01
        19, 2.370908976E-01, 1.199999969E-01, 5.989198666E-01
        20, 2.369292794E-01, 1.199999960E-01, 6.369429529E-01
        21, 2.367676776E-01, 1.200000034E-01, 6.749660857E-01
        22, 2.366060531E-01, 1.199999993E-01, 7.129891850E-01
        23, 2.364444296E-01, 1.199999958E-01, 7.510122582E-01
        24, 2.362828202E-01, 1.199999993E-01, 7.890353277E-01
        25, 2.361212038E-01, 1.199999993E-01, 8.270584755E-01
        26, 2.359595873E-01, 1.199999993E-01, 8.650815506E-01
        27, 2.357979928E-01, 1.200000029E-01, 9.031011630E-01
        28, 2.356363685E-01, 1.199999989E-01, 9.411241822E-01
        29, 2.354747459E-01, 1.199999958E-01, 9.791473160E-01
        30, 2.353131390E-01, 1.200000007E-01, 1.017170443E+00
        31, 2.351515165E-01, 1.199999975E-01, 1.055193477E+00
        32, 2.349899104E-01, 1.200000029E-01, 1.093216667E+00
        33, 2.348282910E-01, 1.200000017E-01, 1.120600081E+00
        34, 2.346666622E-01, 1.199999963E-01, 1.128311181E+00
        35, 2.345050597E-01, 1.199999968E-01, 1.136021649E+00
        36, 2.343434464E-01, 1.199999993E-01, 1.143732818E+00
        37, 2.341818307E-01, 1.200000007E-01, 1.151443969E+00
        38, 2.340202037E-01, 1.199999962E-01, 1.159155086E+00
        39, 2.338585914E-01, 1.199999993E-01, 1.166866250E+00
        40, 2.336969723E-01, 1.199999989E-01, 1.174577385E+00
        41, 2.335353548E-01, 1.199999993E-01, 1.182288524E+00
        42, 2.333737366E-01, 1.199999993E-01, 1.189999670E+00
        43, 2.332121263E-01, 1.199999958E-01, 1.197710074E+00
        44, 2.330505140E-01, 1.199999989E-01, 1.205421269E+00
        45, 2.328888975E-01, 1.199999998E-01, 1.213132389E+00
        46, 2.327272717E-01, 1.199999960E-01, 1.220843470E+00
        47, 2.325656566E-01, 1.199999975E-01, 1.228554662E+00
        48, 2.324040451E-01, 1.200000011E-01, 1.236265879E+00
        49, 2.322424163E-01, 1.199999958E-01, 1.243976931E+00
        50, 2.320808017E-01, 1.199999976E-01, 1.251688068E+00
        51, 2.319192080E-01, 1.200000026E-01, 1.254147199E+00
        52, 2.317575792E-01, 1.199999972E-01, 1.249760455E+00
        53, 2.315959657E-01, 1.199999997E-01, 1.245373832E+00
        54, 2.314343502E-01, 1.200000011E-01, 1.240987156E+00
        55, 2.312727345E-01, 1.200000024E-01, 1.236600516E+00
        56, 2.311111032E-01, 1.199999958E-01, 1.232213773E+00
        57, 2.309494918E-01, 1.199999993E-01, 1.227827143E+00
        58, 2.307878744E-01, 1.199999998E-01, 1.223440465E+00
        59, 2.306262552E-01, 1.199999993E-01, 1.219053809E+00
        60, 2.304646518E-01, 1.199999993E-01, 1.214667544E+00
        61, 2.303030335E-01, 1.199999993E-01, 1.210280892E+00
        62, 2.301414152E-01, 1.199999993E-01, 1.205894180E+00
        63, 2.299798028E-01, 1.200000024E-01, 1.201507546E+00
