nodenumber,    x-coordinate,    y-coordinate,pressure-coefficient
         1, 2.399999946E-01, 0.000000000E+00, 1.433689833E+00
         2, 2.400000000E-01, 1.307999885E-03, 1.430972099E+00
         3, 2.400000000E-01, 2.475999939E-03, 1.418308258E+00
         4, 2.400000000E-01, 3.541999910E-03, 1.401950240E+00
         5, 2.400000000E-01, 4.529999905E-03, 1.381482959E+00
         6, 2.400000000E-01, 5.451999679E-03, 1.357530713E+00
         7, 2.400000000E-01, 6.323999503E-03, 1.330519080E+00
         8, 2.400000000E-01, 7.149999445E-03, 1.301039696E+00
         9, 2.400000000E-01, 7.935999903E-03, 1.269593716E+00
        10, 2.400000000E-01, 8.689999820E-03, 1.236429930E+00
        11, 2.400000000E-01, 9.413999529E-03, 1.201920390E+00
        12, 2.400000000E-01, 1.011199910E-02, 1.166499138E+00
        13, 2.400000000E-01, 1.078600005E-02, 1.130697608E+00
        14, 2.400000000E-01, 1.144000007E-02, 1.094761014E+00
        15, 2.400000000E-01, 1.207399915E-02, 1.059090018E+00
        16, 2.400000000E-01, 1.268799968E-02, 1.024072766E+00
        17, 2.400000000E-01, 1.328799909E-02, 9.896699786E-01
        18, 2.400000000E-01, 1.387199941E-02, 9.562129378E-01
        19, 2.400000000E-01, 1.444199980E-02, 9.237188697E-01
        20, 2.400000000E-01, 1.499799905E-02, 8.922506571E-01
        21, 2.400000000E-01, 1.554199989E-02, 8.617715240E-01
        22, 2.400000000E-01, 1.607599908E-02, 8.322451115E-01
        23, 2.400000000E-01, 1.659799985E-02, 8.038316369E-01
        24, 2.400000000E-01, 1.710999896E-02, 7.764478326E-01
        25, 2.400000000E-01, 1.761199879E-02, 7.501013279E-01
        26, 2.400000000E-01, 1.810599968E-02, 7.246912122E-01
        27, 2.400000000E-01, 1.859199925E-02, 7.002056837E-01
        28, 2.400000000E-01, 1.906799953E-02, 6.767460108E-01
        29, 2.400000000E-01, 1.953799883E-02, 6.540825367E-01
        30, 2.400000000E-01, 1.999999918E-02, 6.323508024E-01
        31, 2.400000000E-01, 2.050000105E-02, 6.094541550E-01
        32, 2.400000000E-01, 2.100527862E-02, 5.868878961E-01
        33, 2.400000000E-01, 2.151588755E-02, 5.646980405E-01
        34, 2.400000000E-01, 2.203188410E-02, 5.429180264E-01
        35, 2.400000000E-01, 2.255332511E-02, 5.215626359E-01
        36, 2.400000000E-01, 2.308026803E-02, 5.006464124E-01
        37, 2.400000000E-01, 2.361277091E-02, 4.801813364E-01
        38, 2.400000000E-01, 2.415089242E-02, 4.601775706E-01
        39, 2.400000000E-01, 2.469469184E-02, 4.406439960E-01
        40, 2.400000000E-01, 2.524422909E-02, 4.215880632E-01
        41, 2.400000000E-01, 2.579956469E-02, 4.030163884E-01
        42, 2.400000000E-01, 2.636075984E-02, 3.849344850E-01
        43, 2.400000000E-01, 2.692787636E-02, 3.673468232E-01
