nodenumber,    x-coordinate,    y-coordinate,  nusselt-number
         1, 2.399999946E-01, 0.000000000E+00, 1.514156189E+02
         2, 2.400000000E-01, 1.307999885E-03, 1.512556915E+02
         3, 2.400000000E-01, 2.475999939E-03, 1.512965698E+02
         4, 2.400000000E-01, 3.541999910E-03, 1.518868866E+02
         5, 2.400000000E-01, 4.529999905E-03, 1.527287445E+02
         6, 2.400000000E-01, 5.451999679E-03, 1.535448151E+02
         7, 2.400000000E-01, 6.323999503E-03, 1.542336731E+02
         8, 2.400000000E-01, 7.149999445E-03, 1.547617645E+02
         9, 2.400000000E-01, 7.935999903E-03, 1.551130371E+02
        10, 2.400000000E-01, 8.689999820E-03, 1.552052307E+02
        11, 2.400000000E-01, 9.413999529E-03, 1.549608154E+02
        12, 2.400000000E-01, 1.011199910E-02, 1.544550018E+02
        13, 2.400000000E-01, 1.078600005E-02, 1.538237610E+02
        14, 2.400000000E-01, 1.144000007E-02, 1.531134644E+02
        15, 2.400000000E-01, 1.207399915E-02, 1.523145142E+02
        16, 2.400000000E-01, 1.268799968E-02, 1.514283752E+02
        17, 2.400000000E-01, 1.328799909E-02, 1.504719086E+02
        18, 2.400000000E-01, 1.387199941E-02, 1.494920807E+02
        19, 2.400000000E-01, 1.444199980E-02, 1.485239563E+02
        20, 2.400000000E-01, 1.499799905E-02, 1.475738831E+02
        21, 2.400000000E-01, 1.554199989E-02, 1.466312408E+02
        22, 2.400000000E-01, 1.607599908E-02, 1.456931915E+02
        23, 2.400000000E-01, 1.659799985E-02, 1.447703705E+02
        24, 2.400000000E-01, 1.710999896E-02, 1.438659821E+02
        25, 2.400000000E-01, 1.761199879E-02, 1.429835205E+02
        26, 2.400000000E-01, 1.810599968E-02, 1.421231537E+02
        27, 2.400000000E-01, 1.859199925E-02, 1.412864380E+02
        28, 2.400000000E-01, 1.906799953E-02, 1.404815979E+02
        29, 2.400000000E-01, 1.953799883E-02, 1.396855469E+02
        30, 2.400000000E-01, 1.999999918E-02, 1.389017944E+02
        31, 2.400000000E-01, 2.050000105E-02, 1.380804901E+02
        32, 2.400000000E-01, 2.100527862E-02, 1.372743225E+02
        33, 2.400000000E-01, 2.151588755E-02, 1.364746094E+02
        34, 2.400000000E-01, 2.203188410E-02, 1.356832581E+02
        35, 2.400000000E-01, 2.255332511E-02, 1.349036560E+02
        36, 2.400000000E-01, 2.308026803E-02, 1.341380310E+02
        37, 2.400000000E-01, 2.361277091E-02, 1.333879242E+02
        38, 2.400000000E-01, 2.415089242E-02, 1.326542206E+02
        39, 2.400000000E-01, 2.469469184E-02, 1.319373932E+02
        40, 2.400000000E-01, 2.524422909E-02, 1.312376251E+02
        41, 2.400000000E-01, 2.579956469E-02, 1.305550079E+02
        42, 2.400000000E-01, 2.636075984E-02, 1.298894653E+02
        43, 2.400000000E-01, 2.692787636E-02, 1.292408600E+02
        44, 2.400000000E-01, 2.750097673E-02, 1.286089325E+02
        45, 2.400000000E-01, 2.808012408E-02, 1.279932556E+02
        46, 2.400000000E-01, 2.866538222E-02, 1.273932114E+02
        47, 2.400000000E-01, 2.925681563E-02, 1.268078308E+02
        48, 2.400000000E-01, 2.985448946E-02, 1.262356262E+02
        49, 2.400000000E-01, 3.045846956E-02, 1.256745300E+02
        50, 2.400000000E-01, 3.106882248E-02, 1.251220169E+02
        51, 2.400000000E-01, 3.168561544E-02, 1.245718918E+02
        52, 2.400000000E-01, 3.230891640E-02, 1.240142365E+02
        53, 2.400000000E-01, 3.293879404E-02, 1.234430008E+02
        54, 2.400000000E-01, 3.357531773E-02, 1.228577728E+02
        55, 2.400000000E-01, 3.421855762E-02, 1.222602463E+02
        56, 2.400000000E-01, 3.486858455E-02, 1.216520538E+02
        57, 2.400000000E-01, 3.552547016E-02, 1.210340576E+02
        58, 2.400000000E-01, 3.618928679E-02, 1.204064102E+02
        59, 2.400000000E-01, 3.686010760E-02, 1.197687912E+02
        60, 2.400000000E-01, 3.753800647E-02, 1.191205673E+02
        61, 2.400000000E-01, 3.822305809E-02, 1.184610291E+02
        62, 2.400000000E-01, 3.891533794E-02, 1.177893143E+02
        63, 2.400000000E-01, 3.961492227E-02, 1.171040268E+02
        64, 2.400000000E-01, 4.032188818E-02, 1.164007111E+02
        65, 2.400000000E-01, 4.103631352E-02, 1.156745758E+02
        66, 2.400000000E-01, 4.175827703E-02, 1.149280472E+02
        67, 2.400000000E-01, 4.248785823E-02, 1.141659470E+02
        68, 2.400000000E-01, 4.322513750E-02, 1.133866043E+02
        69, 2.400000000E-01, 4.397019606E-02, 1.125848007E+02
        70, 2.400000000E-01, 4.472311601E-02, 1.117567825E+02
        71, 2.400000000E-01, 4.548398028E-02, 1.109014511E+02
        72, 2.400000000E-01, 4.625287269E-02, 1.100211716E+02
        73, 2.400000000E-01, 4.702987797E-02, 1.091202850E+02
        74, 2.400000000E-01, 4.781508171E-02, 1.082031021E+02
        75, 2.400000000E-01, 4.860857041E-02, 1.072731857E+02
