nodenumber,    x-coordinate,    y-coordinate,      wall-shear
         1, 2.399999946E-01, 0.000000000E+00, 3.762207180E-02
         2, 2.400000000E-01, 1.307999885E-03, 7.426188886E-02
         3, 2.400000000E-01, 2.475999939E-03, 1.396177858E-01
         4, 2.400000000E-01, 3.541999910E-03, 2.001690120E-01
         5, 2.400000000E-01, 4.529999905E-03, 2.583405972E-01
         6, 2.400000000E-01, 5.451999679E-03, 3.144462705E-01
         7, 2.400000000E-01, 6.323999503E-03, 3.684801161E-01
         8, 2.400000000E-01, 7.149999445E-03, 4.198921919E-01
         9, 2.400000000E-01, 7.935999903E-03, 4.685538411E-01
        10, 2.400000000E-01, 8.689999820E-03, 5.142732859E-01
        11, 2.400000000E-01, 9.413999529E-03, 5.560726523E-01
        12, 2.400000000E-01, 1.011199910E-02, 5.933728218E-01
        13, 2.400000000E-01, 1.078600005E-02, 6.263525486E-01
        14, 2.400000000E-01, 1.144000007E-02, 6.555963159E-01
        15, 2.400000000E-01, 1.207399915E-02, 6.811946630E-01
        16, 2.400000000E-01, 1.268799968E-02, 7.031396627E-01
        17, 2.400000000E-01, 1.328799909E-02, 7.218840122E-01
        18, 2.400000000E-01, 1.387199941E-02, 7.378781438E-01
        19, 2.400000000E-01, 1.444199980E-02, 7.517209053E-01
        20, 2.400000000E-01, 1.499799905E-02, 7.636997104E-01
        21, 2.400000000E-01, 1.554199989E-02, 7.739219069E-01
        22, 2.400000000E-01, 1.607599908E-02, 7.825099826E-01
        23, 2.400000000E-01, 1.659799985E-02, 7.896190882E-01
        24, 2.400000000E-01, 1.710999896E-02, 7.954811454E-01
        25, 2.400000000E-01, 1.761199879E-02, 8.002564311E-01
        26, 2.400000000E-01, 1.810599968E-02, 8.041004539E-01
        27, 2.400000000E-01, 1.859199925E-02, 8.071414828E-01
        28, 2.400000000E-01, 1.906799953E-02, 8.094525337E-01
        29, 2.400000000E-01, 1.953799883E-02, 8.110120893E-01
        30, 2.400000000E-01, 1.999999918E-02, 8.118186593E-01
        31, 2.400000000E-01, 2.050000105E-02, 8.121614456E-01
        32, 2.400000000E-01, 2.100527862E-02, 8.121143579E-01
        33, 2.400000000E-01, 2.151588755E-02, 8.115580082E-01
        34, 2.400000000E-01, 2.203188410E-02, 8.104558587E-01
        35, 2.400000000E-01, 2.255332511E-02, 8.088702559E-01
        36, 2.400000000E-01, 2.308026803E-02, 8.068569899E-01
        37, 2.400000000E-01, 2.361277091E-02, 8.044508100E-01
        38, 2.400000000E-01, 2.415089242E-02, 8.016793132E-01
        39, 2.400000000E-01, 2.469469184E-02, 7.985674739E-01
        40, 2.400000000E-01, 2.524422909E-02, 7.951371074E-01
        41, 2.400000000E-01, 2.579956469E-02, 7.914084196E-01
        42, 2.400000000E-01, 2.636075984E-02, 7.874002457E-01
        43, 2.400000000E-01, 2.692787636E-02, 7.831286192E-01
        44, 2.400000000E-01, 2.750097673E-02, 7.786082625E-01
        45, 2.400000000E-01, 2.808012408E-02, 7.738536000E-01
        46, 2.400000000E-01, 2.866538222E-02, 7.688770890E-01
        47, 2.400000000E-01, 2.925681563E-02, 7.636884451E-01
        48, 2.400000000E-01, 2.985448946E-02, 7.582939267E-01
        49, 2.400000000E-01, 3.045846956E-02, 7.526971698E-01
        50, 2.400000000E-01, 3.106882248E-02, 7.468984723E-01
        51, 2.400000000E-01, 3.168561544E-02, 7.408925891E-01
        52, 2.400000000E-01, 3.230891640E-02, 7.346646190E-01
        53, 2.400000000E-01, 3.293879404E-02, 7.281963825E-01
        54, 2.400000000E-01, 3.357531773E-02, 7.214813232E-01
        55, 2.400000000E-01, 3.421855762E-02, 7.145299315E-01
        56, 2.400000000E-01, 3.486858455E-02, 7.073627114E-01
        57, 2.400000000E-01, 3.552547016E-02, 7.000009418E-01
        58, 2.400000000E-01, 3.618928679E-02, 6.924639940E-01
        59, 2.400000000E-01, 3.686010760E-02, 6.847683787E-01
        60, 2.400000000E-01, 3.753800647E-02, 6.769299507E-01
        61, 2.400000000E-01, 3.822305809E-02, 6.689660549E-01
        62, 2.400000000E-01, 3.891533794E-02, 6.608937383E-01
        63, 2.400000000E-01, 3.961492227E-02, 6.527141929E-01
        64, 2.400000000E-01, 4.032188818E-02, 6.443911195E-01
        65, 2.400000000E-01, 4.103631352E-02, 6.358742714E-01
        66, 2.400000000E-01, 4.175827703E-02, 6.271674633E-01
        67, 2.400000000E-01, 4.248785823E-02, 6.183221936E-01
        68, 2.400000000E-01, 4.322513750E-02, 6.093697548E-01
        69, 2.400000000E-01, 4.397019606E-02, 6.003241539E-01
        70, 2.400000000E-01, 4.472311601E-02, 5.912013054E-01
        71, 2.400000000E-01, 4.548398028E-02, 5.820001960E-01
        72, 2.400000000E-01, 4.625287269E-02, 5.727141500E-01
        73, 2.400000000E-01, 4.702987797E-02, 5.633554459E-01
        74, 2.400000000E-01, 4.781508171E-02, 5.539487600E-01
        75, 2.400000000E-01, 4.860857041E-02, 5.445162654E-01
        76, 2.400000000E-01, 4.941043149E-02, 5.350727439E-01
        77, 2.400000000E-01, 5.022075329E-02, 5.256323814E-01
        78, 2.400000000E-01, 5.103962508E-02, 5.162276030E-01
        79, 2.400000000E-01, 5.186713709E-02, 5.069316030E-01
        80, 2.400000000E-01, 5.270338046E-02, 4.978323877E-01
        81, 2.400000000E-01, 5.354844734E-02, 4.889403582E-01
        82, 2.400000000E-01, 5.440243082E-02, 4.801672101E-01
        83, 2.400000000E-01, 5.526542498E-02, 4.714348912E-01
        84, 2.400000000E-01, 5.613752491E-02, 4.627403915E-01
