nodenumber,    x-coordinate,    y-coordinate,velocity-magnitude
         1, 2.398383707E-01, 7.999999854E-02, 2.414825484E+00
         2, 2.396767739E-01, 7.999999774E-02, 4.027378995E+00
         3, 2.395151588E-01, 7.999999818E-02, 4.743879274E+00
         4, 2.393535471E-01, 7.999999985E-02, 5.416061683E+00
         5, 2.391919286E-01, 8.000000042E-02, 5.507500626E+00
         6, 2.390303016E-01, 7.999999818E-02, 5.598939300E+00
         7, 2.388686850E-01, 7.999999938E-02, 5.690378197E+00
         8, 2.387070563E-01, 7.999999644E-02, 5.763145821E+00
         9, 2.385454398E-01, 7.999999706E-02, 5.686393254E+00
        10, 2.383838397E-01, 7.999999818E-02, 5.609647788E+00
        11, 2.382222143E-01, 7.999999580E-02, 5.532894880E+00
        12, 2.380606030E-01, 7.999999818E-02, 5.456142202E+00
        13, 2.378989843E-01, 7.999999804E-02, 5.379389420E+00
        14, 2.377373626E-01, 7.999999692E-02, 5.302636743E+00
        15, 2.375757550E-01, 8.000000053E-02, 5.225884318E+00
        16, 2.374141292E-01, 7.999999794E-02, 5.149670986E+00
        17, 2.372525157E-01, 7.999999927E-02, 5.075745082E+00
        18, 2.370909027E-01, 7.999999572E-02, 5.001825348E+00
        19, 2.369292924E-01, 7.999999811E-02, 4.927899476E+00
        20, 2.367676825E-01, 8.000000064E-02, 4.853973377E+00
        21, 2.366060650E-01, 8.000000057E-02, 4.780047148E+00
        22, 2.364444409E-01, 7.999999833E-02, 4.706120633E+00
        23, 2.362828236E-01, 7.999999833E-02, 4.632194340E+00
        24, 2.361212057E-01, 7.999999818E-02, 4.558268294E+00
        25, 2.359595883E-01, 7.999999818E-02, 4.484341994E+00
        26, 2.357979788E-01, 7.999999580E-02, 4.410422437E+00
        27, 2.356363679E-01, 7.999999804E-02, 4.336496145E+00
        28, 2.354747582E-01, 8.000000064E-02, 4.262570232E+00
        29, 2.353131335E-01, 7.999999811E-02, 4.188643884E+00
        30, 2.351515219E-01, 8.000000008E-02, 4.114717651E+00
        31, 2.349898963E-01, 7.999999731E-02, 4.040791437E+00
        32, 2.348282794E-01, 7.999999759E-02, 3.971091829E+00
        33, 2.346666684E-01, 8.000000008E-02, 3.909207092E+00
        34, 2.345050649E-01, 8.000000001E-02, 3.847327951E+00
        35, 2.343434409E-01, 7.999999811E-02, 3.785443217E+00
        36, 2.341818159E-01, 7.999999580E-02, 3.723558240E+00
        37, 2.340202050E-01, 7.999999833E-02, 3.661673758E+00
        38, 2.338585792E-01, 7.999999580E-02, 3.599788710E+00
        39, 2.336969679E-01, 7.999999818E-02, 3.537903927E+00
        40, 2.335353566E-01, 8.000000057E-02, 3.476019479E+00
        41, 2.333737313E-01, 7.999999818E-02, 3.414134569E+00
        42, 2.332121275E-01, 7.999999804E-02, 3.352255471E+00
        43, 2.330505166E-01, 8.000000057E-02, 3.290370800E+00
        44, 2.328888983E-01, 8.000000057E-02, 3.228486128E+00
        45, 2.327272802E-01, 8.000000064E-02, 3.166601211E+00
        46, 2.325656483E-01, 7.999999594E-02, 3.104716357E+00
        47, 2.324040328E-01, 7.999999692E-02, 3.042831622E+00
        48, 2.322424146E-01, 7.999999699E-02, 2.980946796E+00
        49, 2.320807974E-01, 7.999999733E-02, 2.919062014E+00
        50, 2.319192032E-01, 8.000000038E-02, 2.861234178E+00
        51, 2.317575860E-01, 8.000000050E-02, 2.808682120E+00
        52, 2.315959683E-01, 8.000000042E-02, 2.756129843E+00
        53, 2.314343483E-01, 7.999999952E-02, 2.703577776E+00
        54, 2.312727306E-01, 7.999999945E-02, 2.651025498E+00
        55, 2.311111095E-01, 7.999999818E-02, 2.598473385E+00
        56, 2.309494920E-01, 7.999999818E-02, 2.545921221E+00
        57, 2.307878745E-01, 7.999999818E-02, 2.493369058E+00
        58, 2.306262571E-01, 7.999999818E-02, 2.440816898E+00
        59, 2.304646544E-01, 7.999999818E-02, 2.388269603E+00
        60, 2.303030306E-01, 7.999999594E-02, 2.335717455E+00
        61, 2.301414127E-01, 7.999999580E-02, 2.283165284E+00
        62, 2.299798089E-01, 8.000000057E-02, 2.230613302E+00
        63, 2.298181881E-01, 7.999999938E-02, 2.178061143E+00
        64, 2.296565670E-01, 7.999999811E-02, 2.125508968E+00
        65, 2.294949460E-01, 7.999999692E-02, 2.072956717E+00
        66, 2.293333267E-01, 7.999999628E-02, 2.020404612E+00
        67, 2.291717340E-01, 7.999999971E-02, 1.967857325E+00
        68, 2.290101123E-01, 7.999999838E-02, 1.920785527E+00
        69, 2.288484866E-01, 7.999999580E-02, 1.878830385E+00
        70, 2.286868756E-01, 7.999999833E-02, 1.836875489E+00
        71, 2.285252634E-01, 8.000000050E-02, 1.794920577E+00
