nodenumber,    x-coordinate,    y-coordinate,turb-kinetic-energy
         1, 2.398383707E-01, 7.999999854E-02, 3.123012831E-01
         2, 2.396767739E-01, 7.999999774E-02, 6.690901277E-01
         3, 2.395151588E-01, 7.999999818E-02, 7.959325649E-01
         4, 2.393535471E-01, 7.999999985E-02, 9.194122847E-01
         5, 2.391919286E-01, 8.000000042E-02, 9.988259990E-01
         6, 2.390303016E-01, 7.999999818E-02, 1.078239674E+00
         7, 2.388686850E-01, 7.999999938E-02, 1.157653403E+00
         8, 2.387070563E-01, 7.999999644E-02, 1.237209615E+00
         9, 2.385454398E-01, 7.999999706E-02, 1.317906543E+00
        10, 2.383838397E-01, 7.999999818E-02, 1.398596117E+00
        11, 2.382222143E-01, 7.999999580E-02, 1.479293074E+00
        12, 2.380606030E-01, 7.999999818E-02, 1.559990093E+00
        13, 2.378989843E-01, 7.999999804E-02, 1.640687106E+00
        14, 2.377373626E-01, 7.999999692E-02, 1.721383974E+00
        15, 2.375757550E-01, 8.000000053E-02, 1.802081080E+00
        16, 2.374141292E-01, 7.999999794E-02, 1.871790938E+00
        17, 2.372525157E-01, 7.999999927E-02, 1.894975518E+00
        18, 2.370909027E-01, 7.999999572E-02, 1.918157749E+00
        19, 2.369292924E-01, 7.999999811E-02, 1.941342354E+00
        20, 2.367676825E-01, 8.000000064E-02, 1.964526933E+00
        21, 2.366060650E-01, 8.000000057E-02, 1.987711482E+00
        22, 2.364444409E-01, 7.999999833E-02, 2.010895852E+00
        23, 2.362828236E-01, 7.999999833E-02, 2.034080397E+00
        24, 2.361212057E-01, 7.999999818E-02, 2.057265002E+00
        25, 2.359595883E-01, 7.999999818E-02, 2.080449425E+00
        26, 2.357979788E-01, 7.999999580E-02, 2.103631761E+00
        27, 2.356363679E-01, 7.999999804E-02, 2.126816422E+00
        28, 2.354747582E-01, 8.000000064E-02, 2.150001004E+00
        29, 2.353131335E-01, 7.999999811E-02, 2.173185337E+00
        30, 2.351515219E-01, 8.000000008E-02, 2.196370037E+00
        31, 2.349898963E-01, 7.999999731E-02, 2.219554372E+00
        32, 2.348282794E-01, 7.999999759E-02, 2.230742800E+00
        33, 2.346666684E-01, 8.000000008E-02, 2.219750500E+00
        34, 2.345050649E-01, 8.000000001E-02, 2.208759192E+00
        35, 2.343434409E-01, 7.999999811E-02, 2.197766894E+00
        36, 2.341818159E-01, 7.999999580E-02, 2.186774608E+00
        37, 2.340202050E-01, 7.999999833E-02, 2.175782286E+00
        38, 2.338585792E-01, 7.999999580E-02, 2.164789993E+00
        39, 2.336969679E-01, 7.999999818E-02, 2.153797816E+00
        40, 2.335353566E-01, 8.000000057E-02, 2.142805643E+00
        41, 2.333737313E-01, 7.999999818E-02, 2.131813236E+00
        42, 2.332121275E-01, 7.999999804E-02, 2.120821960E+00
        43, 2.330505166E-01, 8.000000057E-02, 2.109829731E+00
        44, 2.328888983E-01, 8.000000057E-02, 2.098837499E+00
        45, 2.327272802E-01, 8.000000064E-02, 2.087845206E+00
        46, 2.325656483E-01, 7.999999594E-02, 2.076852828E+00
        47, 2.324040328E-01, 7.999999692E-02, 2.065860441E+00
        48, 2.322424146E-01, 7.999999699E-02, 2.054868179E+00
        49, 2.320807974E-01, 7.999999733E-02, 2.043875926E+00
        50, 2.319192032E-01, 8.000000038E-02, 2.027507767E+00
        51, 2.317575860E-01, 8.000000050E-02, 2.004128353E+00
        52, 2.315959683E-01, 8.000000042E-02, 1.980749055E+00
        53, 2.314343483E-01, 7.999999952E-02, 1.957369614E+00
        54, 2.312727306E-01, 7.999999945E-02, 1.933990182E+00
        55, 2.311111095E-01, 7.999999818E-02, 1.910610748E+00
        56, 2.309494920E-01, 7.999999818E-02, 1.887231316E+00
        57, 2.307878745E-01, 7.999999818E-02, 1.863852065E+00
        58, 2.306262571E-01, 7.999999818E-02, 1.840472639E+00
        59, 2.304646544E-01, 7.999999818E-02, 1.817095358E+00
        60, 2.303030306E-01, 7.999999594E-02, 1.793715931E+00
        61, 2.301414127E-01, 7.999999580E-02, 1.770336557E+00
        62, 2.299798089E-01, 8.000000057E-02, 1.746957187E+00
        63, 2.298181881E-01, 7.999999938E-02, 1.723577878E+00
        64, 2.296565670E-01, 7.999999811E-02, 1.700198438E+00
        65, 2.294949460E-01, 7.999999692E-02, 1.676819008E+00
        66, 2.293333267E-01, 7.999999628E-02, 1.653439593E+00
        67, 2.291717340E-01, 7.999999971E-02, 1.630062362E+00
        68, 2.290101123E-01, 7.999999838E-02, 1.604584781E+00
        69, 2.288484866E-01, 7.999999580E-02, 1.577148108E+00
        70, 2.286868756E-01, 7.999999833E-02, 1.549711570E+00
