nodenumber,    x-coordinate,    y-coordinate,pressure-coefficient
         1, 2.399999946E-01, 0.000000000E+00, 1.002242565E+00
         2, 2.400000000E-01, 1.307999885E-03, 1.000271082E+00
         3, 2.400000000E-01, 2.475999939E-03, 9.913451672E-01
         4, 2.400000000E-01, 3.541999910E-03, 9.803643823E-01
         5, 2.400000000E-01, 4.529999905E-03, 9.670516253E-01
         6, 2.400000000E-01, 5.451999679E-03, 9.520822167E-01
         7, 2.400000000E-01, 6.323999503E-03, 9.358857870E-01
         8, 2.400000000E-01, 7.149999445E-03, 9.188796878E-01
         9, 2.400000000E-01, 7.935999903E-03, 9.012929201E-01
        10, 2.400000000E-01, 8.689999820E-03, 8.833130002E-01
        11, 2.400000000E-01, 9.413999529E-03, 8.652175665E-01
        12, 2.400000000E-01, 1.011199910E-02, 8.471077085E-01
        13, 2.400000000E-01, 1.078600005E-02, 8.290953040E-01
        14, 2.400000000E-01, 1.144000007E-02, 8.112083673E-01
        15, 2.400000000E-01, 1.207399915E-02, 7.935492992E-01
        16, 2.400000000E-01, 1.268799968E-02, 7.762109637E-01
        17, 2.400000000E-01, 1.328799909E-02, 7.590936422E-01
        18, 2.400000000E-01, 1.387199941E-02, 7.423075438E-01
        19, 2.400000000E-01, 1.444199980E-02, 7.258430719E-01
        20, 2.400000000E-01, 1.499799905E-02, 7.097382545E-01
        21, 2.400000000E-01, 1.554199989E-02, 6.939706802E-01
        22, 2.400000000E-01, 1.607599908E-02, 6.785076261E-01
        23, 2.400000000E-01, 1.659799985E-02, 6.634271741E-01
        24, 2.400000000E-01, 1.710999896E-02, 6.486901045E-01
        25, 2.400000000E-01, 1.761199879E-02, 6.343061924E-01
        26, 2.400000000E-01, 1.810599968E-02, 6.202226281E-01
        27, 2.400000000E-01, 1.859199925E-02, 6.064316630E-01
        28, 2.400000000E-01, 1.906799953E-02, 5.929905176E-01
        29, 2.400000000E-01, 1.953799883E-02, 5.797785521E-01
        30, 2.400000000E-01, 1.999999918E-02, 5.669044852E-01
        31, 2.400000000E-01, 2.050000105E-02, 5.531247258E-01
        32, 2.400000000E-01, 2.100527862E-02, 5.393235087E-01
        33, 2.400000000E-01, 2.151588755E-02, 5.255334973E-01
        34, 2.400000000E-01, 2.203188410E-02, 5.117753744E-01
        35, 2.400000000E-01, 2.255332511E-02, 4.980580211E-01
        36, 2.400000000E-01, 2.308026803E-02, 4.843921959E-01
        37, 2.400000000E-01, 2.361277091E-02, 4.707883000E-01
        38, 2.400000000E-01, 2.415089242E-02, 4.572552741E-01
        39, 2.400000000E-01, 2.469469184E-02, 4.438014328E-01
        40, 2.400000000E-01, 2.524422909E-02, 4.304364026E-01
        41, 2.400000000E-01, 2.579956469E-02, 4.171707332E-01
        42, 2.400000000E-01, 2.636075984E-02, 4.040136039E-01
        43, 2.400000000E-01, 2.692787636E-02, 3.909736574E-01
        44, 2.400000000E-01, 2.750097673E-02, 3.780606687E-01
        45, 2.400000000E-01, 2.808012408E-02, 3.652852774E-01
        46, 2.400000000E-01, 2.866538222E-02, 3.526567519E-01
        47, 2.400000000E-01, 2.925681563E-02, 3.401835263E-01
        48, 2.400000000E-01, 2.985448946E-02, 3.278757036E-01
        49, 2.400000000E-01, 3.045846956E-02, 3.157405555E-01
        50, 2.400000000E-01, 3.106882248E-02, 3.037818968E-01
        51, 2.400000000E-01, 3.168561544E-02, 2.920058668E-01
        52, 2.400000000E-01, 3.230891640E-02, 2.804189026E-01
        53, 2.400000000E-01, 3.293879404E-02, 2.690263093E-01
        54, 2.400000000E-01, 3.357531773E-02, 2.578310370E-01
        55, 2.400000000E-01, 3.421855762E-02, 2.468350530E-01
        56, 2.400000000E-01, 3.486858455E-02, 2.360438257E-01
        57, 2.400000000E-01, 3.552547016E-02, 2.254691273E-01
        58, 2.400000000E-01, 3.618928679E-02, 2.151311785E-01
        59, 2.400000000E-01, 3.686010760E-02, 2.050534040E-01
        60, 2.400000000E-01, 3.753800647E-02, 1.952511966E-01
        61, 2.400000000E-01, 3.822305809E-02, 1.857310534E-01
        62, 2.400000000E-01, 3.891533794E-02, 1.764953882E-01
        63, 2.400000000E-01, 3.961492227E-02, 1.675450057E-01
