nodenumber,    x-coordinate,    y-coordinate,  nusselt-number
         1, 2.399999946E-01, 0.000000000E+00, 1.550933533E+02
         2, 2.400000000E-01, 1.307999885E-03, 1.546412354E+02
         3, 2.400000000E-01, 2.475999939E-03, 1.541305389E+02
         4, 2.400000000E-01, 3.541999910E-03, 1.540506439E+02
         5, 2.400000000E-01, 4.529999905E-03, 1.540474854E+02
         6, 2.400000000E-01, 5.451999679E-03, 1.539297180E+02
         7, 2.400000000E-01, 6.323999503E-03, 1.536183167E+02
         8, 2.400000000E-01, 7.149999445E-03, 1.530599670E+02
         9, 2.400000000E-01, 7.935999903E-03, 1.523055420E+02
        10, 2.400000000E-01, 8.689999820E-03, 1.515139618E+02
        11, 2.400000000E-01, 9.413999529E-03, 1.507961121E+02
        12, 2.400000000E-01, 1.011199910E-02, 1.501461792E+02
        13, 2.400000000E-01, 1.078600005E-02, 1.495342560E+02
        14, 2.400000000E-01, 1.144000007E-02, 1.489452362E+02
        15, 2.400000000E-01, 1.207399915E-02, 1.483767090E+02
        16, 2.400000000E-01, 1.268799968E-02, 1.478283844E+02
        17, 2.400000000E-01, 1.328799909E-02, 1.472926178E+02
        18, 2.400000000E-01, 1.387199941E-02, 1.467676697E+02
        19, 2.400000000E-01, 1.444199980E-02, 1.462507935E+02
        20, 2.400000000E-01, 1.499799905E-02, 1.457407684E+02
        21, 2.400000000E-01, 1.554199989E-02, 1.452361908E+02
        22, 2.400000000E-01, 1.607599908E-02, 1.447359772E+02
        23, 2.400000000E-01, 1.659799985E-02, 1.442434998E+02
        24, 2.400000000E-01, 1.710999896E-02, 1.437609406E+02
        25, 2.400000000E-01, 1.761199879E-02, 1.432932739E+02
        26, 2.400000000E-01, 1.810599968E-02, 1.428469696E+02
        27, 2.400000000E-01, 1.859199925E-02, 1.424288177E+02
        28, 2.400000000E-01, 1.906799953E-02, 1.420367126E+02
        29, 2.400000000E-01, 1.953799883E-02, 1.416309204E+02
        30, 2.400000000E-01, 1.999999918E-02, 1.412050934E+02
        31, 2.400000000E-01, 2.050000105E-02, 1.407432404E+02
        32, 2.400000000E-01, 2.100527862E-02, 1.402715607E+02
        33, 2.400000000E-01, 2.151588755E-02, 1.397819214E+02
        34, 2.400000000E-01, 2.203188410E-02, 1.392761078E+02
        35, 2.400000000E-01, 2.255332511E-02, 1.387583618E+02
        36, 2.400000000E-01, 2.308026803E-02, 1.382325897E+02
        37, 2.400000000E-01, 2.361277091E-02, 1.376998596E+02
        38, 2.400000000E-01, 2.415089242E-02, 1.371596985E+02
        39, 2.400000000E-01, 2.469469184E-02, 1.366129303E+02
        40, 2.400000000E-01, 2.524422909E-02, 1.360612030E+02
        41, 2.400000000E-01, 2.579956469E-02, 1.355044861E+02
        42, 2.400000000E-01, 2.636075984E-02, 1.349416962E+02
        43, 2.400000000E-01, 2.692787636E-02, 1.343731384E+02
        44, 2.400000000E-01, 2.750097673E-02, 1.337999725E+02
        45, 2.400000000E-01, 2.808012408E-02, 1.332218628E+02
        46, 2.400000000E-01, 2.866538222E-02, 1.326375122E+02
        47, 2.400000000E-01, 2.925681563E-02, 1.320470428E+02
        48, 2.400000000E-01, 2.985448946E-02, 1.314526367E+02
