nodenumber,    x-coordinate,    y-coordinate,      wall-shear
         1, 2.399999946E-01, 0.000000000E+00, 2.999242954E-02
         2, 2.400000000E-01, 1.307999885E-03, 5.873571336E-02
         3, 2.400000000E-01, 2.475999939E-03, 1.089383960E-01
         4, 2.400000000E-01, 3.541999910E-03, 1.533226222E-01
         5, 2.400000000E-01, 4.529999905E-03, 1.937883496E-01
         6, 2.400000000E-01, 5.451999679E-03, 2.307053357E-01
         7, 2.400000000E-01, 6.323999503E-03, 2.643110752E-01
         8, 2.400000000E-01, 7.149999445E-03, 2.944950163E-01
         9, 2.400000000E-01, 7.935999903E-03, 3.212574124E-01
        10, 2.400000000E-01, 8.689999820E-03, 3.448974192E-01
        11, 2.400000000E-01, 9.413999529E-03, 3.659262061E-01
        12, 2.400000000E-01, 1.011199910E-02, 3.849541843E-01
        13, 2.400000000E-01, 1.078600005E-02, 4.022989869E-01
        14, 2.400000000E-01, 1.144000007E-02, 4.181187749E-01
        15, 2.400000000E-01, 1.207399915E-02, 4.324714243E-01
        16, 2.400000000E-01, 1.268799968E-02, 4.455430508E-01
        17, 2.400000000E-01, 1.328799909E-02, 4.575997889E-01
        18, 2.400000000E-01, 1.387199941E-02, 4.686060250E-01
        19, 2.400000000E-01, 1.444199980E-02, 4.786212742E-01
        20, 2.400000000E-01, 1.499799905E-02, 4.877653718E-01
        21, 2.400000000E-01, 1.554199989E-02, 4.961613119E-01
        22, 2.400000000E-01, 1.607599908E-02, 5.038294792E-01
        23, 2.400000000E-01, 1.659799985E-02, 5.107465386E-01
        24, 2.400000000E-01, 1.710999896E-02, 5.170502663E-01
        25, 2.400000000E-01, 1.761199879E-02, 5.228703022E-01
        26, 2.400000000E-01, 1.810599968E-02, 5.282952189E-01
        27, 2.400000000E-01, 1.859199925E-02, 5.333858728E-01
        28, 2.400000000E-01, 1.906799953E-02, 5.381540060E-01
        29, 2.400000000E-01, 1.953799883E-02, 5.424892306E-01
        30, 2.400000000E-01, 1.999999918E-02, 5.462157726E-01
        31, 2.400000000E-01, 2.050000105E-02, 5.497771502E-01
        32, 2.400000000E-01, 2.100527862E-02, 5.530600548E-01
        33, 2.400000000E-01, 2.151588755E-02, 5.560669899E-01
        34, 2.400000000E-01, 2.203188410E-02, 5.587058067E-01
        35, 2.400000000E-01, 2.255332511E-02, 5.609278679E-01
        36, 2.400000000E-01, 2.308026803E-02, 5.628628135E-01
        37, 2.400000000E-01, 2.361277091E-02, 5.646072626E-01
        38, 2.400000000E-01, 2.415089242E-02, 5.660746098E-01
        39, 2.400000000E-01, 2.469469184E-02, 5.671928525E-01
        40, 2.400000000E-01, 2.524422909E-02, 5.680537224E-01
        41, 2.400000000E-01, 2.579956469E-02, 5.687355399E-01
        42, 2.400000000E-01, 2.636075984E-02, 5.691552758E-01
        43, 2.400000000E-01, 2.692787636E-02, 5.692400932E-01
        44, 2.400000000E-01, 2.750097673E-02, 5.690728426E-01
        45, 2.400000000E-01, 2.808012408E-02, 5.687238574E-01
        46, 2.400000000E-01, 2.866538222E-02, 5.681168437E-01
        47, 2.400000000E-01, 2.925681563E-02, 5.671898723E-01
        48, 2.400000000E-01, 2.985448946E-02, 5.660238862E-01
        49, 2.400000000E-01, 3.045846956E-02, 5.646921396E-01
        50, 2.400000000E-01, 3.106882248E-02, 5.631232262E-01
        51, 2.400000000E-01, 3.168561544E-02, 5.612480044E-01
        52, 2.400000000E-01, 3.230891640E-02, 5.591387153E-01
        53, 2.400000000E-01, 3.293879404E-02, 5.568745136E-01
        54, 2.400000000E-01, 3.357531773E-02, 5.544239879E-01
        55, 2.400000000E-01, 3.421855762E-02, 5.517469049E-01
        56, 2.400000000E-01, 3.486858455E-02, 5.488599539E-01
        57, 2.400000000E-01, 3.552547016E-02, 5.457372069E-01
        58, 2.400000000E-01, 3.618928679E-02, 5.423002243E-01
        59, 2.400000000E-01, 3.686010760E-02, 5.385027528E-01
        60, 2.400000000E-01, 3.753800647E-02, 5.343676805E-01
        61, 2.400000000E-01, 3.822305809E-02, 5.299823880E-01
        62, 2.400000000E-01, 3.891533794E-02, 5.254188776E-01
        63, 2.400000000E-01, 3.961492227E-02, 5.206624269E-01
        64, 2.400000000E-01, 4.032188818E-02, 5.156586766E-01
        65, 2.400000000E-01, 4.103631352E-02, 5.104139447E-01
        66, 2.400000000E-01, 4.175827703E-02, 5.050000548E-01
        67, 2.400000000E-01, 4.248785823E-02, 4.994840920E-01
        68, 2.400000000E-01, 4.322513750E-02, 4.938770533E-01
        69, 2.400000000E-01, 4.397019606E-02, 4.881699085E-01
        70, 2.400000000E-01, 4.472311601E-02, 4.823662341E-01
        71, 2.400000000E-01, 4.548398028E-02, 4.764446318E-01
        72, 2.400000000E-01, 4.625287269E-02, 4.703839421E-01
        73, 2.400000000E-01, 4.702987797E-02, 4.642123580E-01
        74, 2.400000000E-01, 4.781508171E-02, 4.579603374E-01
        75, 2.400000000E-01, 4.860857041E-02, 4.516264796E-01
        76, 2.400000000E-01, 4.941043149E-02, 4.452136159E-01
        77, 2.400000000E-01, 5.022075329E-02, 4.387465417E-01
        78, 2.400000000E-01, 5.103962508E-02, 4.322504103E-01
        79, 2.400000000E-01, 5.186713709E-02, 4.257298708E-01
        80, 2.400000000E-01, 5.270338046E-02, 4.191889465E-01
        81, 2.400000000E-01, 5.354844734E-02, 4.126507640E-01
        82, 2.400000000E-01, 5.440243082E-02, 4.061311483E-01
        83, 2.400000000E-01, 5.526542498E-02, 3.996304572E-01
        84, 2.400000000E-01, 5.613752491E-02, 3.931430578E-01
        85, 2.400000000E-01, 5.701882666E-02, 3.866467476E-01
        86, 2.400000000E-01, 5.790942735E-02, 3.801182210E-01
        87, 2.400000000E-01, 5.880942508E-02, 3.735448122E-01
        88, 2.400000000E-01, 5.971891901E-02, 3.669328690E-01
        89, 2.400000000E-01, 6.063800933E-02, 3.603179753E-01
        90, 2.400000000E-01, 6.156679730E-02, 3.537375629E-01
        91, 2.400000000E-01, 6.250538524E-02, 3.472166359E-01
        92, 2.400000000E-01, 6.345387655E-02, 3.407756686E-01
        93, 2.400000000E-01, 6.441237574E-02, 3.344277143E-01
        94, 2.400000000E-01, 6.538098839E-02, 3.281763494E-01
        95, 2.400000000E-01, 6.635982122E-02, 3.220255673E-01
        96, 2.400000000E-01, 6.734898206E-02, 3.159804940E-01
        97, 2.400000000E-01, 6.834857989E-02, 3.100355268E-01
        98, 2.400000000E-01, 6.935872483E-02, 3.041852117E-01
        99, 2.400000000E-01, 7.037952817E-02, 2.984366715E-01
       100, 2.400000000E-01, 7.141110237E-02, 2.927971780E-01
       101, 2.400000000E-01, 7.245356108E-02, 2.872614861E-01
       102, 2.400000000E-01, 7.350701914E-02, 2.818193436E-01
       103, 2.400000000E-01, 7.457159261E-02, 2.764808536E-01
       104, 2.400000000E-01, 7.564739877E-02, 2.712609172E-01
       105, 2.400000000E-01, 7.673455614E-02, 2.661460340E-01
       106, 2.400000000E-01, 7.783318450E-02, 2.611218989E-01
       107, 2.400000000E-01, 7.894340488E-02, 2.562004626E-01
       108, 2.400000000E-01, 8.006533959E-02, 2.513917387E-01
       109, 2.400000000E-01, 8.119911223E-02, 2.466759384E-01
       110, 2.400000000E-01, 8.234484771E-02, 2.420284450E-01
       111, 2.400000000E-01, 8.350267225E-02, 2.374274582E-01
       112, 2.400000000E-01, 8.467271341E-02, 2.328464985E-01
       113, 2.400000000E-01, 8.585510009E-02, 2.282850444E-01
       114, 2.400000000E-01, 8.704996255E-02, 2.237711251E-01
       115, 2.400000000E-01, 8.825743244E-02, 2.193290293E-01
       116, 2.400000000E-01, 8.947764276E-02, 2.149689049E-01
       117, 2.400000000E-01, 9.071072796E-02, 2.106934339E-01
       118, 2.400000000E-01, 9.195682388E-02, 2.065008730E-01
       119, 2.400000000E-01, 9.321606780E-02, 2.023870051E-01
       120, 2.400000000E-01, 9.448859845E-02, 1.983446181E-01
       121, 2.400000000E-01, 9.577455603E-02, 1.943682432E-01
       122, 2.400000000E-01, 9.707408220E-02, 1.904535145E-01
       123, 2.400000000E-01, 9.838732013E-02, 1.865930259E-01
       124, 2.400000000E-01, 9.971441451E-02, 1.827833652E-01
       125, 2.400000000E-01, 1.010555115E-01, 1.790220886E-01
       126, 2.400000000E-01, 1.024107589E-01, 1.753086746E-01
       127, 2.400000000E-01, 1.037803060E-01, 1.716474742E-01
       128, 2.400000000E-01, 1.051643037E-01, 1.680404842E-01
       129, 2.400000000E-01, 1.065629045E-01, 1.644874662E-01
       130, 2.400000000E-01, 1.079762623E-01, 1.609836370E-01
       131, 2.400000000E-01, 1.094045331E-01, 1.575220525E-01
       132, 2.400000000E-01, 1.108478740E-01, 1.541068703E-01
       133, 2.400000000E-01, 1.123064441E-01, 1.507451683E-01
       134, 2.400000000E-01, 1.137804041E-01, 1.474316567E-01
       135, 2.400000000E-01, 1.152699163E-01, 1.441619843E-01
       136, 2.400000000E-01, 1.167751450E-01, 1.409397423E-01
       137, 2.400000000E-01, 1.182962559E-01, 1.377656460E-01
       138, 2.400000000E-01, 1.198334165E-01, 1.346393526E-01
       139, 2.400000000E-01, 1.213867963E-01, 1.315656304E-01
       140, 2.400000000E-01, 1.229565663E-01, 1.285484582E-01
       141, 2.400000000E-01, 1.245428995E-01, 1.255857944E-01
       142, 2.400000000E-01, 1.261459707E-01, 1.226757467E-01
       143, 2.400000000E-01, 1.277659565E-01, 1.198219061E-01
       144, 2.400000000E-01, 1.294030353E-01, 1.170250028E-01
       145, 2.400000000E-01, 1.310573875E-01, 1.142746657E-01
       146, 2.400000000E-01, 1.327291954E-01, 1.115715429E-01
       147, 2.400000000E-01, 1.344186431E-01, 1.089483351E-01
       148, 2.400000000E-01, 1.361259168E-01, 1.064384505E-01
       149, 2.400000000E-01, 1.378512045E-01, 1.039860994E-01
       150, 2.400000000E-01, 1.404991721E-01, 1.002534851E-01
       151, 2.400000000E-01, 1.431471398E-01, 9.663756192E-02
       152, 2.400000000E-01, 1.457951074E-01, 9.324811399E-02
       153, 2.400000000E-01, 1.484430750E-01, 9.008715302E-02
       154, 2.400000000E-01, 1.510910427E-01, 8.709830791E-02
       155, 2.400000000E-01, 1.537390103E-01, 8.424287289E-02
       156, 2.400000000E-01, 1.563869779E-01, 8.151179552E-02
       157, 2.400000000E-01, 1.590349456E-01, 7.890289277E-02
       158, 2.400000000E-01, 1.616829132E-01, 7.641216367E-02
       159, 2.400000000E-01, 1.643308808E-01, 7.403676957E-02
       160, 2.400000000E-01, 1.669788484E-01, 7.177297026E-02
       161, 2.400000000E-01, 1.696268161E-01, 6.961617619E-02
       162, 2.400000000E-01, 1.722747837E-01, 6.756027788E-02
       163, 2.400000000E-01, 1.749227513E-01, 6.560032070E-02
       164, 2.400000000E-01, 1.775707190E-01, 6.373088807E-02
       165, 2.400000000E-01, 1.802186866E-01, 6.194634363E-02
       166, 2.400000000E-01, 1.828666542E-01, 6.024012715E-02
       167, 2.400000000E-01, 1.855146219E-01, 5.860700458E-02
       168, 2.400000000E-01, 1.881625895E-01, 5.703976750E-02
       169, 2.400000000E-01, 1.908105571E-01, 5.552678183E-02
       170, 2.400000000E-01, 1.934585248E-01, 5.406929553E-02
       171, 2.400000000E-01, 1.961064924E-01, 5.266970769E-02
       172, 2.400000000E-01, 1.987544600E-01, 5.133011565E-02
