nodenumber,    x-coordinate,    y-coordinate,velocity-magnitude
         1, 2.400000000E-01, 1.000000027E-01, 0.000000000E+00
         2, 2.398383737E-01, 1.000000044E-01, 1.542182842E+00
         3, 2.396767784E-01, 1.000000040E-01, 2.655252172E+00
         4, 2.395151588E-01, 1.000000027E-01, 3.168152273E+00
         5, 2.393535398E-01, 1.000000018E-01, 3.651392669E+00
         6, 2.391919139E-01, 9.999999936E-02, 3.745974720E+00
         7, 2.390303017E-01, 1.000000027E-01, 3.840557098E+00
         8, 2.388686770E-01, 1.000000008E-01, 3.935139269E+00
         9, 2.387070644E-01, 1.000000039E-01, 4.017998434E+00
        10, 2.385454440E-01, 1.000000031E-01, 4.006975964E+00
        11, 2.383838433E-01, 1.000000042E-01, 3.995954588E+00
        12, 2.382222214E-01, 1.000000027E-01, 3.984932005E+00
        13, 2.380606030E-01, 1.000000027E-01, 3.973909467E+00
        14, 2.378989830E-01, 1.000000020E-01, 3.962887168E+00
        15, 2.377373655E-01, 1.000000023E-01, 3.951864511E+00
        16, 2.375757476E-01, 1.000000025E-01, 3.940842092E+00
        17, 2.374141319E-01, 1.000000035E-01, 3.926612612E+00
        18, 2.372525068E-01, 1.000000003E-01, 3.898802083E+00
        19, 2.370909175E-01, 1.000000059E-01, 3.870994262E+00
        20, 2.369292918E-01, 1.000000023E-01, 3.843183488E+00
        21, 2.367676699E-01, 1.000000005E-01, 3.815373003E+00
        22, 2.366060649E-01, 1.000000057E-01, 3.787562579E+00
        23, 2.364444405E-01, 1.000000027E-01, 3.759752005E+00
        24, 2.362828231E-01, 1.000000027E-01, 3.731941551E+00
        25, 2.361212057E-01, 1.000000027E-01, 3.704130977E+00
        26, 2.359595883E-01, 1.000000027E-01, 3.676320493E+00
        27, 2.357979911E-01, 1.000000049E-01, 3.648512453E+00
        28, 2.356363614E-01, 9.999999973E-02, 3.620701864E+00
        29, 2.354747475E-01, 1.000000012E-01, 3.592891365E+00
        30, 2.353131302E-01, 1.000000012E-01, 3.565080792E+00
        31, 2.351515154E-01, 1.000000023E-01, 3.537270501E+00
        32, 2.349899021E-01, 1.000000041E-01, 3.509460002E+00
        33, 2.348282822E-01, 1.000000031E-01, 3.480374450E+00
        34, 2.346666677E-01, 1.000000047E-01, 3.448931970E+00
        35, 2.345050560E-01, 1.000000012E-01, 3.417492032E+00
        36, 2.343434403E-01, 1.000000023E-01, 3.386049457E+00
        37, 2.341818246E-01, 1.000000034E-01, 3.354606718E+00
        38, 2.340201993E-01, 1.000000005E-01, 3.323164105E+00
        39, 2.338585845E-01, 1.000000020E-01, 3.291721493E+00
