nodenumber,    x-coordinate,    y-coordinate,turb-kinetic-energy
         1, 2.400000000E-01, 1.000000027E-01, 4.817138191E-07
         2, 2.398383737E-01, 1.000000044E-01, 5.048503168E-02
         3, 2.396767784E-01, 1.000000040E-01, 2.269695133E-01
         4, 2.395151588E-01, 1.000000027E-01, 3.962667771E-01
         5, 2.393535398E-01, 1.000000018E-01, 5.605112393E-01
         6, 2.391919139E-01, 9.999999936E-02, 6.585440040E-01
         7, 2.390303017E-01, 1.000000027E-01, 7.565768063E-01
         8, 2.388686770E-01, 1.000000008E-01, 8.546095584E-01
         9, 2.387070644E-01, 1.000000039E-01, 9.490497373E-01
        10, 2.385454440E-01, 1.000000031E-01, 1.014719129E+00
        11, 2.383838433E-01, 1.000000042E-01, 1.080382548E+00
        12, 2.382222214E-01, 1.000000027E-01, 1.146051973E+00
        13, 2.380606030E-01, 1.000000027E-01, 1.211721420E+00
        14, 2.378989830E-01, 1.000000020E-01, 1.277390793E+00
        15, 2.377373655E-01, 1.000000023E-01, 1.343060207E+00
        16, 2.375757476E-01, 1.000000025E-01, 1.408729643E+00
        17, 2.374141319E-01, 1.000000035E-01, 1.468203626E+00
        18, 2.372525068E-01, 1.000000003E-01, 1.501442187E+00
        19, 2.370909175E-01, 1.000000059E-01, 1.534677941E+00
        20, 2.369292918E-01, 1.000000023E-01, 1.567916542E+00
        21, 2.367676699E-01, 1.000000005E-01, 1.601155236E+00
        22, 2.366060649E-01, 1.000000057E-01, 1.634393990E+00
        23, 2.364444405E-01, 1.000000027E-01, 1.667632684E+00
        24, 2.362828231E-01, 1.000000027E-01, 1.700871333E+00
        25, 2.361212057E-01, 1.000000027E-01, 1.734109968E+00
        26, 2.359595883E-01, 1.000000027E-01, 1.767348707E+00
        27, 2.357979911E-01, 1.000000049E-01, 1.800584413E+00
        28, 2.356363614E-01, 9.999999973E-02, 1.833822973E+00
        29, 2.354747475E-01, 1.000000012E-01, 1.867061667E+00
        30, 2.353131302E-01, 1.000000012E-01, 1.900300287E+00
        31, 2.351515154E-01, 1.000000023E-01, 1.933539115E+00
        32, 2.349899021E-01, 1.000000041E-01, 1.966777814E+00
        33, 2.348282822E-01, 1.000000031E-01, 1.992215718E+00
        34, 2.346666677E-01, 1.000000047E-01, 2.003230326E+00
        35, 2.345050560E-01, 1.000000012E-01, 2.014243789E+00
        36, 2.343434403E-01, 1.000000023E-01, 2.025258400E+00
        37, 2.341818246E-01, 1.000000034E-01, 2.036272965E+00
        38, 2.340201993E-01, 1.000000005E-01, 2.047287449E+00
        39, 2.338585845E-01, 1.000000020E-01, 2.058302164E+00
        40, 2.336969662E-01, 1.000000020E-01, 2.069316745E+00
        41, 2.335353497E-01, 1.000000027E-01, 2.080331281E+00
        42, 2.333737313E-01, 1.000000027E-01, 2.091345921E+00
        43, 2.332121280E-01, 1.000000027E-01, 2.102359444E+00
        44, 2.330505097E-01, 1.000000027E-01, 2.113374040E+00
        45, 2.328889001E-01, 1.000000064E-01, 2.124388710E+00
        46, 2.327272696E-01, 1.000000012E-01, 2.135403171E+00
        47, 2.325656496E-01, 1.000000005E-01, 2.146417715E+00
        48, 2.324040408E-01, 1.000000046E-01, 2.157432463E+00
        49, 2.322424107E-01, 9.999999954E-02, 2.168446895E+00
        50, 2.320807963E-01, 1.000000012E-01, 2.179461479E+00
        51, 2.319191999E-01, 1.000000041E-01, 2.183746036E+00
        52, 2.317575755E-01, 1.000000010E-01, 2.179258779E+00
        53, 2.315959662E-01, 1.000000046E-01, 2.174771506E+00
        54, 2.314343409E-01, 1.000000012E-01, 2.170284145E+00
        55, 2.312727304E-01, 1.000000042E-01, 2.165796831E+00
        56, 2.311111060E-01, 1.000000012E-01, 2.161309466E+00
        57, 2.309494903E-01, 1.000000020E-01, 2.156822205E+00
        58, 2.307878745E-01, 1.000000027E-01, 2.152334884E+00
        59, 2.306262571E-01, 1.000000027E-01, 2.147847503E+00
        60, 2.304646545E-01, 1.000000027E-01, 2.143360674E+00
        61, 2.303030371E-01, 1.000000027E-01, 2.138873339E+00
        62, 2.301414212E-01, 1.000000035E-01, 2.134386048E+00
        63, 2.299798106E-01, 1.000000064E-01, 2.129898757E+00
        64, 2.298181924E-01, 1.000000061E-01, 2.125411466E+00
        65, 2.296565638E-01, 1.000000012E-01, 2.120924056E+00
        66, 2.294949497E-01, 1.000000027E-01, 2.116436765E+00
        67, 2.293333351E-01, 1.000000040E-01, 2.111949485E+00
        68, 2.291717296E-01, 1.000000027E-01, 2.107462544E+00
        69, 2.290101062E-01, 1.000000003E-01, 2.097190277E+00
        70, 2.288484926E-01, 1.000000023E-01, 2.081516702E+00
        71, 2.286868777E-01, 1.000000038E-01, 2.065843239E+00
        72, 2.285252645E-01, 1.000000061E-01, 2.050169803E+00
        73, 2.283636351E-01, 1.000000012E-01, 2.034496211E+00
        74, 2.282020203E-01, 1.000000027E-01, 2.018822722E+00
        75, 2.280404088E-01, 1.000000057E-01, 2.003149286E+00
        76, 2.278787985E-01, 1.000000027E-01, 1.987477064E+00
        77, 2.277171802E-01, 1.000000027E-01, 1.971803591E+00
        78, 2.275555619E-01, 1.000000027E-01, 1.956130072E+00
        79, 2.273939436E-01, 1.000000027E-01, 1.940456554E+00
        80, 2.272323236E-01, 1.000000020E-01, 1.924783006E+00
        81, 2.270707137E-01, 1.000000057E-01, 1.909109488E+00
        82, 2.269090812E-01, 9.999999936E-02, 1.893435903E+00
        83, 2.267474712E-01, 1.000000031E-01, 1.877762489E+00
        84, 2.265858641E-01, 1.000000014E-01, 1.862090334E+00
        85, 2.264242487E-01, 1.000000027E-01, 1.846416876E+00
        86, 2.262626338E-01, 1.000000042E-01, 1.830743423E+00
        87, 2.261010146E-01, 1.000000038E-01, 1.810306112E+00
        88, 2.259393867E-01, 9.999999954E-02, 1.786697255E+00
        89, 2.257777713E-01, 1.000000008E-01, 1.763088360E+00
        90, 2.256161564E-01, 1.000000023E-01, 1.739479464E+00
        91, 2.254545313E-01, 9.999999936E-02, 1.715870492E+00
        92, 2.252929322E-01, 1.000000012E-01, 1.692263886E+00
