nodenumber,    x-coordinate,    y-coordinate,pressure-coefficient
         1, 2.399999946E-01, 0.000000000E+00, 1.332189441E+00
         2, 2.400000000E-01, 1.307999885E-03, 1.330783248E+00
         3, 2.400000000E-01, 2.475999939E-03, 1.324537516E+00
         4, 2.400000000E-01, 3.541999910E-03, 1.316713333E+00
         5, 2.400000000E-01, 4.529999905E-03, 1.306652904E+00
         6, 2.400000000E-01, 5.451999679E-03, 1.294850111E+00
         7, 2.400000000E-01, 6.323999503E-03, 1.281378984E+00
         8, 2.400000000E-01, 7.149999445E-03, 1.266434431E+00
         9, 2.400000000E-01, 7.935999903E-03, 1.250115991E+00
        10, 2.400000000E-01, 8.689999820E-03, 1.232486725E+00
        11, 2.400000000E-01, 9.413999529E-03, 1.213680029E+00
        12, 2.400000000E-01, 1.011199910E-02, 1.193757534E+00
        13, 2.400000000E-01, 1.078600005E-02, 1.172818422E+00
        14, 2.400000000E-01, 1.144000007E-02, 1.150864244E+00
        15, 2.400000000E-01, 1.207399915E-02, 1.128018618E+00
        16, 2.400000000E-01, 1.268799968E-02, 1.104421973E+00
        17, 2.400000000E-01, 1.328799909E-02, 1.079945564E+00
        18, 2.400000000E-01, 1.387199941E-02, 1.054782987E+00
        19, 2.400000000E-01, 1.444199980E-02, 1.028979897E+00
        20, 2.400000000E-01, 1.499799905E-02, 1.002676249E+00
        21, 2.400000000E-01, 1.554199989E-02, 9.759241939E-01
        22, 2.400000000E-01, 1.607599908E-02, 9.487602711E-01
        23, 2.400000000E-01, 1.659799985E-02, 9.214450717E-01
        24, 2.400000000E-01, 1.710999896E-02, 8.940235972E-01
        25, 2.400000000E-01, 1.761199879E-02, 8.666449189E-01
        26, 2.400000000E-01, 1.810599968E-02, 8.393226862E-01
        27, 2.400000000E-01, 1.859199925E-02, 8.121823072E-01
        28, 2.400000000E-01, 1.906799953E-02, 7.854151130E-01
        29, 2.400000000E-01, 1.953799883E-02, 7.588980198E-01
        30, 2.400000000E-01, 1.999999918E-02, 7.329399586E-01
        31, 2.400000000E-01, 2.050000105E-02, 7.049044371E-01
        32, 2.400000000E-01, 2.100527862E-02, 6.766688824E-01
        33, 2.400000000E-01, 2.151588755E-02, 6.484600902E-01
        34, 2.400000000E-01, 2.203188410E-02, 6.203511357E-01
        35, 2.400000000E-01, 2.255332511E-02, 5.924376249E-01
        36, 2.400000000E-01, 2.308026803E-02, 5.648302436E-01
        37, 2.400000000E-01, 2.361277091E-02, 5.376248360E-01
        38, 2.400000000E-01, 2.415089242E-02, 5.109031200E-01
        39, 2.400000000E-01, 2.469469184E-02, 4.847380817E-01
        40, 2.400000000E-01, 2.524422909E-02, 4.591942728E-01
        41, 2.400000000E-01, 2.579956469E-02, 4.343306720E-01
        42, 2.400000000E-01, 2.636075984E-02, 4.101983011E-01
        43, 2.400000000E-01, 2.692787636E-02, 3.868466318E-01
        44, 2.400000000E-01, 2.750097673E-02, 3.643150032E-01
        45, 2.400000000E-01, 2.808012408E-02, 3.426300585E-01
        46, 2.400000000E-01, 2.866538222E-02, 3.218149543E-01
        47, 2.400000000E-01, 2.925681563E-02, 3.018768132E-01
        48, 2.400000000E-01, 2.985448946E-02, 2.828119695E-01
        49, 2.400000000E-01, 3.045846956E-02, 2.646131516E-01
        50, 2.400000000E-01, 3.106882248E-02, 2.472713143E-01
        51, 2.400000000E-01, 3.168561544E-02, 2.307765037E-01
        52, 2.400000000E-01, 3.230891640E-02, 2.151181996E-01
        53, 2.400000000E-01, 3.293879404E-02, 2.002848089E-01
        54, 2.400000000E-01, 3.357531773E-02, 1.862624437E-01
        55, 2.400000000E-01, 3.421855762E-02, 1.730342656E-01
        56, 2.400000000E-01, 3.486858455E-02, 1.605805606E-01
        57, 2.400000000E-01, 3.552547016E-02, 1.488791555E-01
        58, 2.400000000E-01, 3.618928679E-02, 1.379053891E-01
        59, 2.400000000E-01, 3.686010760E-02, 1.276357919E-01
        60, 2.400000000E-01, 3.753800647E-02, 1.180492267E-01
        61, 2.400000000E-01, 3.822305809E-02, 1.091198772E-01
        62, 2.400000000E-01, 3.891533794E-02, 1.008152589E-01
        63, 2.400000000E-01, 3.961492227E-02, 9.310165793E-02
        64, 2.400000000E-01, 4.032188818E-02, 8.594692498E-02
        65, 2.400000000E-01, 4.103631352E-02, 7.931931317E-02
        66, 2.400000000E-01, 4.175827703E-02, 7.318688184E-02
        67, 2.400000000E-01, 4.248785823E-02, 6.751779467E-02
        68, 2.400000000E-01, 4.322513750E-02, 6.228034571E-02
        69, 2.400000000E-01, 4.397019606E-02, 5.744422227E-02
        70, 2.400000000E-01, 4.472311601E-02, 5.298298225E-02
        71, 2.400000000E-01, 4.548398028E-02, 4.888208210E-02
        72, 2.400000000E-01, 4.625287269E-02, 4.513502121E-02
        73, 2.400000000E-01, 4.702987797E-02, 4.172658548E-02
        74, 2.400000000E-01, 4.781508171E-02, 3.863247484E-02
        75, 2.400000000E-01, 4.860857041E-02, 3.582594916E-02
        76, 2.400000000E-01, 4.941043149E-02, 3.327902034E-02
        77, 2.400000000E-01, 5.022075329E-02, 3.096253239E-02
        78, 2.400000000E-01, 5.103962508E-02, 2.884801663E-02
        79, 2.400000000E-01, 5.186713709E-02, 2.690831572E-02
        80, 2.400000000E-01, 5.270338046E-02, 2.512157708E-02
        81, 2.400000000E-01, 5.354844734E-02, 2.347273193E-02
        82, 2.400000000E-01, 5.440243082E-02, 2.194740437E-02
        83, 2.400000000E-01, 5.526542498E-02, 2.053218149E-02
        84, 2.400000000E-01, 5.613752491E-02, 1.921873726E-02
        85, 2.400000000E-01, 5.701882666E-02, 1.800579391E-02
        86, 2.400000000E-01, 5.790942735E-02, 1.689528488E-02
        87, 2.400000000E-01, 5.880942508E-02, 1.588492654E-02
        88, 2.400000000E-01, 5.971891901E-02, 1.496687252E-02
        89, 2.400000000E-01, 6.063800933E-02, 1.413117163E-02
        90, 2.400000000E-01, 6.156679730E-02, 1.336801611E-02
        91, 2.400000000E-01, 6.250538524E-02, 1.266622357E-02
        92, 2.400000000E-01, 6.345387655E-02, 1.201447751E-02
        93, 2.400000000E-01, 6.441237574E-02, 1.140277833E-02
        94, 2.400000000E-01, 6.538098839E-02, 1.082024444E-02
        95, 2.400000000E-01, 6.635982122E-02, 1.025788765E-02
        96, 2.400000000E-01, 6.734898206E-02, 9.711484425E-03
        97, 2.400000000E-01, 6.834857989E-02, 9.180257097E-03
        98, 2.400000000E-01, 6.935872483E-02, 8.665604517E-03
        99, 2.400000000E-01, 7.037952817E-02, 8.170534857E-03
       100, 2.400000000E-01, 7.141110237E-02, 7.698379457E-03
       101, 2.400000000E-01, 7.245356108E-02, 7.250886876E-03
       102, 2.400000000E-01, 7.350701914E-02, 6.829303224E-03
       103, 2.400000000E-01, 7.457159261E-02, 6.433334202E-03
       104, 2.400000000E-01, 7.564739877E-02, 6.061048713E-03
       105, 2.400000000E-01, 7.673455614E-02, 5.711171776E-03
       106, 2.400000000E-01, 7.783318450E-02, 5.382641684E-03
       107, 2.400000000E-01, 7.894340488E-02, 5.076000001E-03
       108, 2.400000000E-01, 8.006533959E-02, 4.791312385E-03
       109, 2.400000000E-01, 8.119911223E-02, 4.526128992E-03
       110, 2.400000000E-01, 8.234484771E-02, 4.278278910E-03
       111, 2.400000000E-01, 8.350267225E-02, 4.046110436E-03
       112, 2.400000000E-01, 8.467271341E-02, 3.828819608E-03
       113, 2.400000000E-01, 8.585510009E-02, 3.626277205E-03
       114, 2.400000000E-01, 8.704996255E-02, 3.437253414E-03
       115, 2.400000000E-01, 8.825743244E-02, 3.260611091E-03
       116, 2.400000000E-01, 8.947764276E-02, 3.095285967E-03
       117, 2.400000000E-01, 9.071072796E-02, 2.940077335E-03
       118, 2.400000000E-01, 9.195682388E-02, 2.794953994E-03
       119, 2.400000000E-01, 9.321606780E-02, 2.659044927E-03
       120, 2.400000000E-01, 9.448859845E-02, 2.528471174E-03
       121, 2.400000000E-01, 9.577455603E-02, 2.401454607E-03
       122, 2.400000000E-01, 9.707408220E-02, 2.278924920E-03
       123, 2.400000000E-01, 9.838732013E-02, 2.162898891E-03
       124, 2.400000000E-01, 9.971441451E-02, 2.058275044E-03
       125, 2.400000000E-01, 1.010555115E-01, 1.975160325E-03
       126, 2.400000000E-01, 1.024107589E-01, 1.911118743E-03
       127, 2.400000000E-01, 1.037803060E-01, 1.852641115E-03
       128, 2.400000000E-01, 1.051643037E-01, 1.796703786E-03
       129, 2.400000000E-01, 1.065629045E-01, 1.743719680E-03
       130, 2.400000000E-01, 1.079762623E-01, 1.693491940E-03
       131, 2.400000000E-01, 1.094045331E-01, 1.646197867E-03
       132, 2.400000000E-01, 1.108478740E-01, 1.602034317E-03
       133, 2.400000000E-01, 1.123064441E-01, 1.561203972E-03
       134, 2.400000000E-01, 1.137804041E-01, 1.523696817E-03
       135, 2.400000000E-01, 1.152699163E-01, 1.489138696E-03
       136, 2.400000000E-01, 1.167751450E-01, 1.456872444E-03
       137, 2.400000000E-01, 1.182962559E-01, 1.425924827E-03
