nodenumber,    x-coordinate,    y-coordinate,  nusselt-number
         1, 2.399999946E-01, 0.000000000E+00, 1.522872314E+02
         2, 2.400000000E-01, 1.307999885E-03, 1.524194336E+02
         3, 2.400000000E-01, 2.475999939E-03, 1.520006104E+02
         4, 2.400000000E-01, 3.541999910E-03, 1.515083313E+02
         5, 2.400000000E-01, 4.529999905E-03, 1.514127197E+02
         6, 2.400000000E-01, 5.451999679E-03, 1.512559204E+02
         7, 2.400000000E-01, 6.323999503E-03, 1.510928497E+02
         8, 2.400000000E-01, 7.149999445E-03, 1.508294678E+02
         9, 2.400000000E-01, 7.935999903E-03, 1.504944763E+02
        10, 2.400000000E-01, 8.689999820E-03, 1.501761627E+02
        11, 2.400000000E-01, 9.413999529E-03, 1.498844604E+02
        12, 2.400000000E-01, 1.011199910E-02, 1.496058197E+02
        13, 2.400000000E-01, 1.078600005E-02, 1.493329773E+02
        14, 2.400000000E-01, 1.144000007E-02, 1.490697784E+02
        15, 2.400000000E-01, 1.207399915E-02, 1.488168488E+02
        16, 2.400000000E-01, 1.268799968E-02, 1.485691223E+02
        17, 2.400000000E-01, 1.328799909E-02, 1.483247375E+02
        18, 2.400000000E-01, 1.387199941E-02, 1.480684662E+02
        19, 2.400000000E-01, 1.444199980E-02, 1.477831879E+02
        20, 2.400000000E-01, 1.499799905E-02, 1.474546661E+02
        21, 2.400000000E-01, 1.554199989E-02, 1.470741730E+02
        22, 2.400000000E-01, 1.607599908E-02, 1.466412659E+02
        23, 2.400000000E-01, 1.659799985E-02, 1.461557312E+02
        24, 2.400000000E-01, 1.710999896E-02, 1.456182861E+02
        25, 2.400000000E-01, 1.761199879E-02, 1.450268707E+02
        26, 2.400000000E-01, 1.810599968E-02, 1.443876648E+02
        27, 2.400000000E-01, 1.859199925E-02, 1.436997986E+02
        28, 2.400000000E-01, 1.906799953E-02, 1.429997864E+02
        29, 2.400000000E-01, 1.953799883E-02, 1.422585297E+02
        30, 2.400000000E-01, 1.999999918E-02, 1.414465790E+02
        31, 2.400000000E-01, 2.050000105E-02, 1.405608978E+02
        32, 2.400000000E-01, 2.100527862E-02, 1.396368561E+02
        33, 2.400000000E-01, 2.151588755E-02, 1.386366882E+02
        34, 2.400000000E-01, 2.203188410E-02, 1.375962219E+02
        35, 2.400000000E-01, 2.255332511E-02, 1.365207520E+02
        36, 2.400000000E-01, 2.308026803E-02, 1.354150391E+02
        37, 2.400000000E-01, 2.361277091E-02, 1.342850494E+02
        38, 2.400000000E-01, 2.415089242E-02, 1.331366425E+02
        39, 2.400000000E-01, 2.469469184E-02, 1.319757080E+02
        40, 2.400000000E-01, 2.524422909E-02, 1.308078918E+02
        41, 2.400000000E-01, 2.579956469E-02, 1.296380615E+02
        42, 2.400000000E-01, 2.636075984E-02, 1.284693298E+02
        43, 2.400000000E-01, 2.692787636E-02, 1.273067245E+02
        44, 2.400000000E-01, 2.750097673E-02, 1.261554642E+02
        45, 2.400000000E-01, 2.808012408E-02, 1.250189972E+02
        46, 2.400000000E-01, 2.866538222E-02, 1.239038010E+02
        47, 2.400000000E-01, 2.925681563E-02, 1.228170471E+02
        48, 2.400000000E-01, 2.985448946E-02, 1.217631149E+02
        49, 2.400000000E-01, 3.045846956E-02, 1.207436142E+02
        50, 2.400000000E-01, 3.106882248E-02, 1.197580185E+02
        51, 2.400000000E-01, 3.168561544E-02, 1.188046646E+02
        52, 2.400000000E-01, 3.230891640E-02, 1.178818512E+02
        53, 2.400000000E-01, 3.293879404E-02, 1.169886246E+02
        54, 2.400000000E-01, 3.357531773E-02, 1.161251984E+02
        55, 2.400000000E-01, 3.421855762E-02, 1.152922592E+02
        56, 2.400000000E-01, 3.486858455E-02, 1.144905243E+02
        57, 2.400000000E-01, 3.552547016E-02, 1.137201767E+02
        58, 2.400000000E-01, 3.618928679E-02, 1.129810791E+02
        59, 2.400000000E-01, 3.686010760E-02, 1.122780533E+02
        60, 2.400000000E-01, 3.753800647E-02, 1.116196518E+02
        61, 2.400000000E-01, 3.822305809E-02, 1.110080795E+02
