nodenumber,    x-coordinate,    y-coordinate,      wall-shear
         1, 2.399999946E-01, 0.000000000E+00, 1.851657219E-02
         2, 2.400000000E-01, 1.307999885E-03, 4.743883014E-02
         3, 2.400000000E-01, 2.475999939E-03, 9.149262309E-02
         4, 2.400000000E-01, 3.541999910E-03, 1.286776960E-01
         5, 2.400000000E-01, 4.529999905E-03, 1.667637527E-01
         6, 2.400000000E-01, 5.451999679E-03, 2.028665245E-01
         7, 2.400000000E-01, 6.323999503E-03, 2.381868511E-01
         8, 2.400000000E-01, 7.149999445E-03, 2.725017369E-01
         9, 2.400000000E-01, 7.935999903E-03, 3.054802120E-01
        10, 2.400000000E-01, 8.689999820E-03, 3.375614285E-01
        11, 2.400000000E-01, 9.413999529E-03, 3.689118028E-01
        12, 2.400000000E-01, 1.011199910E-02, 3.995752037E-01
        13, 2.400000000E-01, 1.078600005E-02, 4.295440316E-01
        14, 2.400000000E-01, 1.144000007E-02, 4.588973224E-01
        15, 2.400000000E-01, 1.207399915E-02, 4.877325594E-01
        16, 2.400000000E-01, 1.268799968E-02, 5.157608390E-01
        17, 2.400000000E-01, 1.328799909E-02, 5.432754159E-01
        18, 2.400000000E-01, 1.387199941E-02, 5.700958371E-01
        19, 2.400000000E-01, 1.444199980E-02, 5.959885120E-01
        20, 2.400000000E-01, 1.499799905E-02, 6.208662391E-01
        21, 2.400000000E-01, 1.554199989E-02, 6.444811225E-01
        22, 2.400000000E-01, 1.607599908E-02, 6.669121981E-01
        23, 2.400000000E-01, 1.659799985E-02, 6.878797412E-01
        24, 2.400000000E-01, 1.710999896E-02, 7.073011994E-01
        25, 2.400000000E-01, 1.761199879E-02, 7.252024412E-01
        26, 2.400000000E-01, 1.810599968E-02, 7.414379120E-01
        27, 2.400000000E-01, 1.859199925E-02, 7.564039230E-01
        28, 2.400000000E-01, 1.906799953E-02, 7.695580125E-01
        29, 2.400000000E-01, 1.953799883E-02, 7.822781801E-01
        30, 2.400000000E-01, 1.999999918E-02, 7.924062014E-01
        31, 2.400000000E-01, 2.050000105E-02, 8.018871546E-01
        32, 2.400000000E-01, 2.100527862E-02, 8.116219044E-01
        33, 2.400000000E-01, 2.151588755E-02, 8.188643456E-01
        34, 2.400000000E-01, 2.203188410E-02, 8.248705268E-01
        35, 2.400000000E-01, 2.255332511E-02, 8.294703960E-01
        36, 2.400000000E-01, 2.308026803E-02, 8.326295614E-01
        37, 2.400000000E-01, 2.361277091E-02, 8.344280720E-01
        38, 2.400000000E-01, 2.415089242E-02, 8.349490166E-01
        39, 2.400000000E-01, 2.469469184E-02, 8.342704177E-01
        40, 2.400000000E-01, 2.524422909E-02, 8.324657679E-01
        41, 2.400000000E-01, 2.579956469E-02, 8.296105266E-01
        42, 2.400000000E-01, 2.636075984E-02, 8.257588744E-01
        43, 2.400000000E-01, 2.692787636E-02, 8.209757805E-01
        44, 2.400000000E-01, 2.750097673E-02, 8.153676987E-01
        45, 2.400000000E-01, 2.808012408E-02, 8.090144992E-01
        46, 2.400000000E-01, 2.866538222E-02, 8.020201921E-01
        47, 2.400000000E-01, 2.925681563E-02, 7.945283651E-01
        48, 2.400000000E-01, 2.985448946E-02, 7.866469026E-01
        49, 2.400000000E-01, 3.045846956E-02, 7.784441113E-01
        50, 2.400000000E-01, 3.106882248E-02, 7.699645758E-01
        51, 2.400000000E-01, 3.168561544E-02, 7.612368464E-01
        52, 2.400000000E-01, 3.230891640E-02, 7.522838116E-01
        53, 2.400000000E-01, 3.293879404E-02, 7.431331277E-01
        54, 2.400000000E-01, 3.357531773E-02, 7.338215113E-01
        55, 2.400000000E-01, 3.421855762E-02, 7.243904471E-01
        56, 2.400000000E-01, 3.486858455E-02, 7.148810029E-01
        57, 2.400000000E-01, 3.552547016E-02, 7.053321600E-01
        58, 2.400000000E-01, 3.618928679E-02, 6.957738400E-01
        59, 2.400000000E-01, 3.686010760E-02, 6.862419844E-01
        60, 2.400000000E-01, 3.753800647E-02, 6.767983437E-01
        61, 2.400000000E-01, 3.822305809E-02, 6.675024629E-01
        62, 2.400000000E-01, 3.891533794E-02, 6.583821177E-01
        63, 2.400000000E-01, 3.961492227E-02, 6.494427323E-01
        64, 2.400000000E-01, 4.032188818E-02, 6.406908035E-01
        65, 2.400000000E-01, 4.103631352E-02, 6.321430206E-01
        66, 2.400000000E-01, 4.175827703E-02, 6.238200665E-01
        67, 2.400000000E-01, 4.248785823E-02, 6.157449484E-01
        68, 2.400000000E-01, 4.322513750E-02, 6.079380512E-01
        69, 2.400000000E-01, 4.397019606E-02, 6.004018188E-01
        70, 2.400000000E-01, 4.472311601E-02, 5.930826664E-01
        71, 2.400000000E-01, 4.548398028E-02, 5.858942866E-01
        72, 2.400000000E-01, 4.625287269E-02, 5.788232684E-01
        73, 2.400000000E-01, 4.702987797E-02, 5.719282031E-01
        74, 2.400000000E-01, 4.781508171E-02, 5.652602911E-01
        75, 2.400000000E-01, 4.860857041E-02, 5.588468909E-01
        76, 2.400000000E-01, 4.941043149E-02, 5.527064204E-01
        77, 2.400000000E-01, 5.022075329E-02, 5.468465686E-01
        78, 2.400000000E-01, 5.103962508E-02, 5.412629843E-01
        79, 2.400000000E-01, 5.186713709E-02, 5.359259248E-01
        80, 2.400000000E-01, 5.270338046E-02, 5.307766795E-01
        81, 2.400000000E-01, 5.354844734E-02, 5.257693529E-01
        82, 2.400000000E-01, 5.440243082E-02, 5.208818316E-01
        83, 2.400000000E-01, 5.526542498E-02, 5.160798430E-01
        84, 2.400000000E-01, 5.613752491E-02, 5.113018751E-01
        85, 2.400000000E-01, 5.701882666E-02, 5.064859390E-01
        86, 2.400000000E-01, 5.790942735E-02, 5.016124249E-01
        87, 2.400000000E-01, 5.880942508E-02, 4.967045486E-01
        88, 2.400000000E-01, 5.971891901E-02, 4.917895198E-01
        89, 2.400000000E-01, 6.063800933E-02, 4.868820012E-01
        90, 2.400000000E-01, 6.156679730E-02, 4.819937348E-01
        91, 2.400000000E-01, 6.250538524E-02, 4.771275520E-01
        92, 2.400000000E-01, 6.345387655E-02, 4.722837806E-01
        93, 2.400000000E-01, 6.441237574E-02, 4.674744606E-01
        94, 2.400000000E-01, 6.538098839E-02, 4.627015889E-01
        95, 2.400000000E-01, 6.635982122E-02, 4.579421282E-01
        96, 2.400000000E-01, 6.734898206E-02, 4.531636536E-01
        97, 2.400000000E-01, 6.834857989E-02, 4.483365417E-01
        98, 2.400000000E-01, 6.935872483E-02, 4.434366226E-01
        99, 2.400000000E-01, 7.037952817E-02, 4.384477735E-01
       100, 2.400000000E-01, 7.141110237E-02, 4.333647192E-01
       101, 2.400000000E-01, 7.245356108E-02, 4.281886220E-01
       102, 2.400000000E-01, 7.350701914E-02, 4.229260087E-01
       103, 2.400000000E-01, 7.457159261E-02, 4.175871015E-01
       104, 2.400000000E-01, 7.564739877E-02, 4.121733010E-01
       105, 2.400000000E-01, 7.673455614E-02, 4.066821933E-01
       106, 2.400000000E-01, 7.783318450E-02, 4.011141658E-01
       107, 2.400000000E-01, 7.894340488E-02, 3.954788148E-01
       108, 2.400000000E-01, 8.006533959E-02, 3.897890747E-01
       109, 2.400000000E-01, 8.119911223E-02, 3.840439320E-01
       110, 2.400000000E-01, 8.234484771E-02, 3.782375157E-01
       111, 2.400000000E-01, 8.350267225E-02, 3.723678291E-01
       112, 2.400000000E-01, 8.467271341E-02, 3.664332032E-01
       113, 2.400000000E-01, 8.585510009E-02, 3.604382277E-01
       114, 2.400000000E-01, 8.704996255E-02, 3.543919623E-01
       115, 2.400000000E-01, 8.825743244E-02, 3.483031690E-01
       116, 2.400000000E-01, 8.947764276E-02, 3.421808481E-01
       117, 2.400000000E-01, 9.071072796E-02, 3.360301852E-01
       118, 2.400000000E-01, 9.195682388E-02, 3.298575282E-01
       119, 2.400000000E-01, 9.321606780E-02, 3.236820996E-01
       120, 2.400000000E-01, 9.448859845E-02, 3.175181150E-01
       121, 2.400000000E-01, 9.577455603E-02, 3.113649786E-01
       122, 2.400000000E-01, 9.707408220E-02, 3.052245975E-01
       123, 2.400000000E-01, 9.838732013E-02, 2.990941107E-01
       124, 2.400000000E-01, 9.971441451E-02, 2.929429412E-01
       125, 2.400000000E-01, 1.010555115E-01, 2.867871523E-01
       126, 2.400000000E-01, 1.024107589E-01, 2.807084918E-01
       127, 2.400000000E-01, 1.037803060E-01, 2.747311890E-01
