nodenumber,    x-coordinate,    y-coordinate,velocity-magnitude
         1, 2.399999807E-01, 3.999999879E-02, 5.218800507E-04
         2, 2.398383741E-01, 4.000000029E-02, 4.977429017E+00
         3, 2.396767712E-01, 3.999999887E-02, 7.610278890E+00
         4, 2.395151588E-01, 3.999999954E-02, 8.282346964E+00
         5, 2.393535470E-01, 4.000000037E-02, 8.903864726E+00
         6, 2.391919237E-01, 3.999999984E-02, 8.862970710E+00
         7, 2.390303017E-01, 3.999999954E-02, 8.822076797E+00
         8, 2.388686814E-01, 3.999999953E-02, 8.781182885E+00
         9, 2.387070572E-01, 3.999999883E-02, 8.729825996E+00
        10, 2.385454431E-01, 3.999999955E-02, 8.594676226E+00
        11, 2.383838397E-01, 3.999999954E-02, 8.459538937E+00
        12, 2.382222214E-01, 3.999999953E-02, 8.324389100E+00
        13, 2.380606030E-01, 3.999999954E-02, 8.189239502E+00
        14, 2.378989847E-01, 3.999999954E-02, 8.054089665E+00
        15, 2.377373664E-01, 3.999999955E-02, 7.918939710E+00
        16, 2.375757481E-01, 3.999999953E-02, 7.783790201E+00
        17, 2.374141354E-01, 4.000000048E-02, 7.647025039E+00
        18, 2.372525143E-01, 3.999999983E-02, 7.503419310E+00
        19, 2.370909065E-01, 3.999999894E-02, 7.359826505E+00
        20, 2.369292927E-01, 3.999999953E-02, 7.216220975E+00
        21, 2.367676752E-01, 3.999999954E-02, 7.072615147E+00
        22, 2.366060579E-01, 3.999999954E-02, 6.929009259E+00
        23, 2.364444405E-01, 3.999999955E-02, 6.785403609E+00
        24, 2.362828231E-01, 3.999999954E-02, 6.641797781E+00
        25, 2.361212057E-01, 3.999999954E-02, 6.498192072E+00
        26, 2.359595883E-01, 3.999999954E-02, 6.354586244E+00
        27, 2.357979858E-01, 3.999999953E-02, 6.210993886E+00
        28, 2.356363684E-01, 3.999999955E-02, 6.067388177E+00
        29, 2.354747510E-01, 3.999999954E-02, 5.923782229E+00
        30, 2.353131337E-01, 3.999999953E-02, 5.780176580E+00
        31, 2.351515163E-01, 3.999999955E-02, 5.636571020E+00
        32, 2.349899059E-01, 4.000000074E-02, 5.492965162E+00
        33, 2.348282785E-01, 3.999999910E-02, 5.363604482E+00
        34, 2.346666611E-01, 3.999999923E-02, 5.260583431E+00
        35, 2.345050595E-01, 3.999999955E-02, 5.157571524E+00
        36, 2.343434376E-01, 3.999999895E-02, 5.054550290E+00
        37, 2.341818281E-01, 4.000000044E-02, 4.951529115E+00
        38, 2.340202045E-01, 3.999999954E-02, 4.848507881E+00
        39, 2.338585862E-01, 3.999999954E-02, 4.745486557E+00
        40, 2.336969679E-01, 3.999999955E-02, 4.642465293E+00
        41, 2.335353496E-01, 3.999999954E-02, 4.539444029E+00
        42, 2.333737314E-01, 3.999999954E-02, 4.436422765E+00
        43, 2.332121280E-01, 3.999999954E-02, 4.333411038E+00
        44, 2.330505096E-01, 3.999999955E-02, 4.230389774E+00
        45, 2.328888914E-01, 3.999999953E-02, 4.127368569E+00
        46, 2.327272713E-01, 3.999999923E-02, 4.024347186E+00
        47, 2.325656548E-01, 3.999999954E-02, 3.921325982E+00
        48, 2.324040365E-01, 3.999999955E-02, 3.818304718E+00
        49, 2.322424181E-01, 3.999999955E-02, 3.715283453E+00
        50, 2.320807997E-01, 3.999999950E-02, 3.612262137E+00
        51, 2.319191929E-01, 3.999999886E-02, 3.527095275E+00
        52, 2.317575793E-01, 3.999999953E-02, 3.465184353E+00
        53, 2.315959593E-01, 3.999999909E-02, 3.403273091E+00
        54, 2.314343444E-01, 3.999999953E-02, 3.341362149E+00
        55, 2.312727252E-01, 3.999999924E-02, 3.279450864E+00
        56, 2.311111095E-01, 3.999999954E-02, 3.217539936E+00
        57, 2.309494920E-01, 3.999999954E-02, 3.155628860E+00
        58, 2.307878745E-01, 3.999999954E-02, 3.093717724E+00
        59, 2.306262571E-01, 3.999999954E-02, 3.031806707E+00
