nodenumber,    x-coordinate,    y-coordinate,turb-kinetic-energy
         1, 2.400000000E-01, 1.000000027E-01, 0.000000000E+00
         2, 2.398383737E-01, 1.000000044E-01, 6.755981818E-01
         3, 2.396767784E-01, 1.000000040E-01, 1.251344759E+00
         4, 2.395151588E-01, 1.000000027E-01, 1.390859783E+00
         5, 2.393535398E-01, 1.000000018E-01, 1.522265030E+00
         6, 2.391919139E-01, 9.999999936E-02, 1.547399908E+00
         7, 2.390303017E-01, 1.000000027E-01, 1.572534755E+00
         8, 2.388686770E-01, 1.000000008E-01, 1.597669542E+00
         9, 2.387070644E-01, 1.000000039E-01, 1.625003953E+00
        10, 2.385454440E-01, 1.000000031E-01, 1.669952691E+00
        11, 2.383838433E-01, 1.000000042E-01, 1.714897372E+00
        12, 2.382222214E-01, 1.000000027E-01, 1.759846091E+00
        13, 2.380606030E-01, 1.000000027E-01, 1.804794848E+00
        14, 2.378989830E-01, 1.000000020E-01, 1.849743530E+00
        15, 2.377373655E-01, 1.000000023E-01, 1.894692384E+00
        16, 2.375757476E-01, 1.000000025E-01, 1.939641081E+00
        17, 2.374141319E-01, 1.000000035E-01, 1.979765450E+00
        18, 2.372525068E-01, 1.000000003E-01, 1.999460347E+00
        19, 2.370909175E-01, 1.000000059E-01, 2.019153535E+00
        20, 2.369292918E-01, 1.000000023E-01, 2.038848408E+00
        21, 2.367676699E-01, 1.000000005E-01, 2.058543175E+00
        22, 2.366060649E-01, 1.000000057E-01, 2.078238249E+00
        23, 2.364444405E-01, 1.000000027E-01, 2.097933084E+00
        24, 2.362828231E-01, 1.000000027E-01, 2.117627993E+00
        25, 2.361212057E-01, 1.000000027E-01, 2.137322903E+00
        26, 2.359595883E-01, 1.000000027E-01, 2.157017797E+00
        27, 2.357979911E-01, 1.000000049E-01, 2.176711023E+00
        28, 2.356363614E-01, 9.999999973E-02, 2.196405850E+00
        29, 2.354747475E-01, 1.000000012E-01, 2.216100693E+00
        30, 2.353131302E-01, 1.000000012E-01, 2.235795632E+00
        31, 2.351515154E-01, 1.000000023E-01, 2.255490586E+00
        32, 2.349899021E-01, 1.000000041E-01, 2.275185550E+00
